time,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,CANESM5,EC-EARTH3-VEG,IPSL-CM6A-LR,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,CESM2,BCC-CSM2-MR,MRI-ESM2-0,EC-EARTH3,TAIESM1,INM-CM4-8,ACCESS-ESM1-5,CAMS-CSM1-0,FGOALS-F3-L
2051.0,12197506000000.0,12056824000000.0,12199623000000.0,12705390000000.0,11620416000000.0,11234250000000.0,12380280000000.0,13115679000000.0,11516758000000.0,12521175000000.0,11743635000000.0,12696081000000.0,11900010000000.0,10939979000000.0,9999571000000.0,12173132000000.0,12398309000000.0,12799784000000.0,12704107000000.0
2052.0,12107453000000.0,11943252000000.0,12134555000000.0,12607908000000.0,11419988000000.0,11088561000000.0,12280643000000.0,13036247000000.0,11341127000000.0,12421011000000.0,11629230000000.0,12651439000000.0,11783456000000.0,10751026000000.0,9756504000000.0,12059382000000.0,12277280000000.0,12743506000000.0,12563396000000.0
2053.0,11992690000000.0,11826893000000.0,12025645000000.0,12495375000000.0,11253634000000.0,10929674000000.0,12164619000000.0,13016087000000.0,11246902000000.0,12337352000000.0,11479407000000.0,12540270000000.0,11651093000000.0,10569956000000.0,9525907000000.0,11934969000000.0,12180030000000.0,12701352000000.0,12469109000000.0
2054.0,11895226000000.0,11719529000000.0,11918869000000.0,12442600000000.0,11080299000000.0,10738550000000.0,12046253000000.0,12923485000000.0,11082236000000.0,12227964000000.0,11340034000000.0,12453171000000.0,11491493000000.0,10399792000000.0,9300472000000.0,11843297000000.0,12089687000000.0,12629783000000.0,12403133000000.0
2055.0,11807230000000.0,11571953000000.0,11820684000000.0,12353583000000.0,10892560000000.0,10540148000000.0,11886473000000.0,12834923000000.0,10904132000000.0,12144693000000.0,11203459000000.0,12349463000000.0,11317884000000.0,10179561000000.0,9035412000000.0,11718530000000.0,11947748000000.0,12563422000000.0,12304446000000.0
2056.0,11704484000000.0,11495993000000.0,11732653000000.0,12315089000000.0,10705447000000.0,10339266000000.0,11734485000000.0,12750875000000.0,10723412000000.0,12034118000000.0,11043788000000.0,12252231000000.0,11196830000000.0,10013670000000.0,8800293000000.0,11610569000000.0,11824589000000.0,12457452000000.0,12189188000000.0
2057.0,11566539000000.0,11374462000000.0,11635844000000.0,12191406000000.0,10498430000000.0,10180872000000.0,11580346000000.0,12671868000000.0,10578732000000.0,11924098000000.0,10856434000000.0,12166661000000.0,11079007000000.0,9843648000000.0,8598370000000.0,11478263000000.0,11696036000000.0,12398644000000.0,12138495000000.0
2058.0,11454331000000.0,11272619000000.0,11560211000000.0,12133156000000.0,10330017000000.0,10002944000000.0,11448469000000.0,12621575000000.0,10448582000000.0,11829720000000.0,10716294000000.0,12077703000000.0,10919038000000.0,9641508000000.0,8404264000000.0,11371378000000.0,11579903000000.0,12341370000000.0,12057327000000.0
2059.0,11350741000000.0,11146600000000.0,11452562000000.0,12011010000000.0,10184903000000.0,9818773000000.0,11364486000000.0,12546186000000.0,10267138000000.0,11757480000000.0,10566534000000.0,11987480000000.0,10797464000000.0,9452198000000.0,8189459300000.0,11221640000000.0,11492446000000.0,12247764000000.0,11979163000000.0
2060.0,11236878000000.0,10994328000000.0,11375537000000.0,11889777000000.0,10004906000000.0,9613196000000.0,11242559000000.0,12448716000000.0,10116487000000.0,11688717000000.0,10359261000000.0,11886736000000.0,10666367000000.0,9298235000000.0,7966999000000.0,11118255000000.0,11381199000000.0,12173977000000.0,11918610000000.0
2061.0,11100271000000.0,10847823000000.0,11287908000000.0,11817327000000.0,9843572000000.0,9439027000000.0,11108525000000.0,12351546000000.0,9979350000000.0,11576642000000.0,10230264000000.0,11761218000000.0,10484706000000.0,9111117000000.0,7747029400000.0,11051598000000.0,11224397000000.0,12120125000000.0,11869287000000.0
2062.0,10964487000000.0,10734060000000.0,11198940000000.0,11734489000000.0,9649631000000.0,9273490000000.0,11020961000000.0,12275794000000.0,9819544000000.0,11526539000000.0,10043139000000.0,11706304000000.0,10343721000000.0,8930795000000.0,7523767000000.0,10995088000000.0,11117738000000.0,12046401000000.0,11768156000000.0
2063.0,10830492000000.0,10581337000000.0,11112668000000.0,11617054000000.0,9467171000000.0,9097942000000.0,10899397000000.0,12167644000000.0,9625444000000.0,11462518000000.0,9874383000000.0,11643986000000.0,10220441000000.0,8749802600000.0,7362694300000.0,10909872000000.0,10985718000000.0,11959427000000.0,11673735000000.0
2064.0,10694562000000.0,10452928000000.0,10998615000000.0,11555841000000.0,9301668000000.0,8950027000000.0,10751821000000.0,12090972000000.0,9400950000000.0,11349159000000.0,9688327000000.0,11562429000000.0,10063307000000.0,8555384500000.0,7169986000000.0,10803696000000.0,10881740000000.0,11840200000000.0,11606271000000.0
2065.0,10541694000000.0,10318080000000.0,10912257000000.0,11474165000000.0,9135304000000.0,8750364000000.0,10636156000000.0,11985205000000.0,9155110000000.0,11240143000000.0,9509521000000.0,11424353000000.0,10004855000000.0,8381190400000.0,6965422500000.0,10667282000000.0,10756882000000.0,11768871000000.0,11525001000000.0
2066.0,10458638000000.0,10169758000000.0,10789229000000.0,11346473000000.0,8926080000000.0,8540574000000.0,10516715000000.0,11906703000000.0,8948334000000.0,11152301000000.0,9352841000000.0,11272309000000.0,9922698000000.0,8223634500000.0,6780069300000.0,10564218000000.0,10662874000000.0,11695544000000.0,11386861000000.0
