time,ACCESS-ESM1-5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,INM-CM5-0,ACCESS-CM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,GFDL-ESM4,MPI-ESM1-2-HR,CESM2,CAMS-CSM1-0
2086.0,23130474000.0,25408283000.0,23140596000.0,28114379000.0,20792193000.0,30180864000.0,22271232000.0,31680620000.0,27889877000.0,20607120000.0,30234364000.0,27520027000.0,30275346000.0,31348040000.0,35052150000.0,23472652000.0,35735843000.0
2087.0,22755790000.0,25534992000.0,22861488000.0,27043940000.0,20151652000.0,30211220000.0,22102522000.0,31411850000.0,26955536000.0,20318951000.0,29778678000.0,26999165000.0,30086062000.0,32028637000.0,34197275000.0,24091623000.0,35473160000.0
2088.0,22579310000.0,25272435000.0,22701586000.0,26762232000.0,18989162000.0,29802062000.0,22023625000.0,31175668000.0,26724004000.0,20059148000.0,29449937000.0,26668536000.0,29613314000.0,31977886000.0,33729262000.0,23768818000.0,35538340000.0
2089.0,22234059000.0,24914209000.0,22586198000.0,26457754000.0,18782755000.0,29712548000.0,22337346000.0,31121950000.0,26517815000.0,19921760000.0,29990525000.0,26533134000.0,29550445000.0,31352664000.0,33435270000.0,23275250000.0,35203105000.0
2090.0,22034455000.0,26971490000.0,22318647000.0,26710610000.0,19087245000.0,29551067000.0,21976883000.0,30760370000.0,26484623000.0,19699186000.0,29341268000.0,26389625000.0,29394493000.0,31348822000.0,33179880000.0,23179696000.0,35049560000.0
2091.0,21788158000.0,25406589000.0,22277882000.0,26098252000.0,18462460000.0,29443365000.0,22282398000.0,30521039000.0,26252892000.0,19386757000.0,28881547000.0,26312493000.0,29003127000.0,31397847000.0,33569403000.0,23298148000.0,34986770000.0
2092.0,21749297000.0,26672097000.0,21790976000.0,26660987000.0,18215688000.0,29138373000.0,22448048000.0,30267670000.0,26320260000.0,19222952000.0,28714811000.0,25966406000.0,30277382000.0,30599086000.0,33144922000.0,22923747000.0,34680470000.0
2093.0,21891320000.0,24842134000.0,21753754000.0,26010034000.0,18160433000.0,28881435000.0,21938630000.0,29976404000.0,26131990000.0,19167937000.0,29508848000.0,25744972000.0,29417363000.0,30431672000.0,33219901000.0,22558257000.0,34486510000.0
2094.0,21519768000.0,25144500000.0,21407971000.0,25750952000.0,18188614000.0,28921518000.0,21518354000.0,29637646000.0,26434732000.0,18963567000.0,29082420000.0,25502147000.0,28805782000.0,31378930000.0,32668860000.0,22551585000.0,34713010000.0
2095.0,21567035000.0,24890310000.0,21686723000.0,25536137000.0,17833400000.0,28543592000.0,21320751000.0,29326012000.0,25935614000.0,18798821000.0,28741687000.0,25513353000.0,28537883000.0,30227220000.0,35728640000.0,22961058000.0,35166030000.0
2096.0,24028996000.0,24914120000.0,21409900000.0,25312164000.0,18355876000.0,28519713000.0,21667056000.0,29186904000.0,25652218000.0,19058055000.0,29253566000.0,25046186000.0,28665455000.0,30526902000.0,33536614000.0,22126307000.0,34830324000.0
2097.0,21999135000.0,25382648000.0,20937396000.0,25096206000.0,20495663000.0,28242820000.0,21342667000.0,28970844000.0,25435070000.0,18434386000.0,28547387000.0,24823132000.0,28207092000.0,32225421000.0,33590344000.0,22047570000.0,34542027000.0
2098.0,21259512000.0,25848453000.0,20899220000.0,25065726000.0,18071343000.0,28535415000.0,21259450000.0,28650912000.0,25719443000.0,18396980000.0,28190458000.0,26678310000.0,28578224000.0,30049518000.0,32548807000.0,21855295000.0,33883218000.0
2099.0,20849461000.0,25282644000.0,20738300000.0,24693210000.0,17998154000.0,29637038000.0,21004632000.0,28291047000.0,25205060000.0,18220388000.0,28161194000.0,24901978000.0,28771009000.0,29704485000.0,32329070000.0,22499641000.0,34036130000.0
2100.0,20831250000.0,25953126000.0,20708560000.0,25053796000.0,18061765000.0,28288820000.0,21921420000.0,28126212000.0,25156053000.0,17945750000.0,29328780000.0,24546767000.0,28207038000.0,30269426000.0,32350593000.0,22380483000.0,34815210000.0
