time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,CANESM5
2209.0,2115648000.0,4653424.0,19607676.0,11273401.0,9584777.0,4071515.2
2210.0,2104834000.0,3856365.8,19179678.0,10568989.0,9838297.0,3979706.0
2211.0,2083816000.0,3805648.2,19159158.0,9355207.0,9302019.0,3964742.8
2212.0,2564005000.0,3780661.0,16678194.0,9332039.0,9281921.0,3954737.2
2213.0,2099023100.0,3573212.5,15325456.0,9314005.0,9254499.0,3867253.5
2214.0,2070803100.0,3541635.2,15212232.0,9219281.0,9368029.0,3868185.5
2215.0,2035294300.0,3239555.0,14340742.0,8920235.0,8774769.0,3806982.5
2216.0,2009417700.0,3153844.8,14269078.0,7263092.0,8215434.5,3464447.2
2217.0,1992790900.0,3151797.8,14089612.0,7240339.0,7733223.5,3461659.5
2218.0,1992090000.0,3083335.5,13261036.0,7232677.5,7277919.0,3461941.5
2219.0,1967467600.0,3052300.2,13147106.0,6984905.5,7270489.5,3458171.8
2220.0,2016655200.0,2524594.0,13128732.0,6982491.5,7259598.5,3387693.2
2221.0,2028967200.0,2446728.0,12721356.0,6950929.0,7245407.0,3383357.5
2222.0,1941835000.0,5717282.0,12740262.0,7236258.0,6311925.5,3365289.5
2223.0,1914193700.0,5924804.0,12596920.0,6888946.5,5314234.5,3349831.2
2224.0,2383464200.0,3367967.0,12585524.0,6907347.5,5288567.0,3350641.8
2225.0,1868553500.0,3097034.0,12487672.0,6856772.5,5285075.0,3347289.5
2226.0,1853868200.0,2660550.8,12095763.0,6813211.0,5275714.5,3340819.8
2227.0,1819702800.0,2445043.8,12076713.0,6485477.0,5267423.5,3336408.5
2228.0,1815818200.0,2447381.5,12071953.0,6482872.0,5220018.0,3333578.2
2229.0,1965657500.0,2444581.8,12040313.0,6475890.5,5212190.0,3287142.5
2230.0,1794994000.0,2445925.2,12020791.0,6448227.0,4574767.5,3282487.8
2231.0,1786032300.0,2442845.8,23884398.0,6625200.5,4538329.5,3161994.8
2232.0,1945757700.0,2440827.8,11999745.0,6414067.5,4525962.0,2449862.8
2233.0,1766170000.0,2437788.2,10548779.0,6411544.0,4462587.0,2445460.0
2234.0,1759001500.0,2471795.0,10503827.0,6377344.5,4451400.5,2440555.5
2235.0,1754728400.0,7500074.0,8454950.0,6450256.0,3815336.0,2350301.0
2236.0,1747270100.0,2841877.0,7109608.0,6163395.5,3802140.5,2349212.2
2237.0,1778735700.0,2468434.8,5072120.0,6155306.0,3788952.0,2339874.2
2238.0,1771480400.0,2384161.2,4366179.0,6158576.5,3720879.0,2337513.0
2239.0,1720555600.0,2382811.2,4255519.0,6137111.0,3714022.2,2333951.8
2240.0,1701869700.0,2382890.0,4228536.0,6061311.5,3710106.8,2326139.8
2241.0,1776925400.0,2379460.2,3555350.5,6033586.5,3708032.0,2304197.0
2242.0,1687683800.0,2365136.2,3467625.5,6036872.5,3708879.5,2301711.5
2243.0,1684298800.0,2363516.0,3437632.5,6029476.5,3152709.5,2298512.8
2244.0,1642769500.0,2366124.0,3409197.5,6010274.0,3126489.5,2215625.8
2245.0,1643422500.0,2363057.5,3368804.8,6001376.5,2600751.5,2214902.8
2246.0,1613748100.0,2396956.5,2941139.5,6005667.0,2597510.0,2213255.2
2247.0,1613313900.0,2361682.0,2858504.5,6009867.0,2824538.5,2212709.2
2248.0,1605985800.0,2364485.8,2794383.0,6011098.5,2602305.5,2204339.8
2249.0,1586166700.0,2364166.0,2974317.5,6013569.5,2592973.8,2201433.8
2250.0,1585029500.0,2625723.5,2361269.0,6003459.0,2595296.2,2200987.8
2251.0,1571461100.0,2363012.8,2360041.5,5966868.0,2682323.2,2200932.8
2252.0,1550341100.0,2341893.0,2279946.2,6033254.5,2593999.5,2200837.5
2253.0,1546736100.0,2561514.5,2280178.2,5737949.5,2613406.8,2199489.0
2254.0,2157579800.0,2346854.5,2951627.8,5730971.0,2593682.2,2197947.8
2255.0,1604245500.0,2343905.2,2277812.8,5751517.0,2857744.5,2196735.5
2256.0,1543477100.0,2340551.5,2274048.2,5735888.5,2594268.2,2194185.8
2257.0,1523481600.0,2338387.8,2206773.8,5729246.0,2593452.5,2195448.5
2258.0,1521440600.0,2335404.5,2206918.8,5724585.5,2591611.8,2195018.2
2259.0,1512797800.0,2335882.0,2208240.2,5728277.5,2611297.2,2194342.8
2260.0,1477122700.0,2337519.2,2205401.5,5752084.0,2592873.8,2193766.8
2261.0,1482065000.0,2333813.0,2202349.0,5723105.5,2594330.2,2187031.2
2262.0,1475588600.0,2292006.2,2201535.2,5892329.5,2595438.8,2186091.0
2263.0,1473126400.0,2292534.8,2203519.8,5726315.5,2590624.0,2182729.2
2264.0,1445084900.0,2291022.8,2184557.0,5723303.0,2672802.2,2180558.2
2265.0,1428424700.0,2276777.0,2183568.8,5725926.5,2586722.2,2178629.0
2266.0,1425103200.0,2275347.0,2394689.8,5690560.0,2587753.8,2176859.2
2267.0,1423327000.0,2275800.8,2136078.0,5910845.0,2611814.2,2177358.8
