time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2190.0,2120942000.0,2411290000.0,1235306100.0,4746127000.0,11218443000.0,8057733600.0
2191.0,2100435600.0,2317389600.0,1195141500.0,4745998000.0,11197199000.0,8008840000.0
2192.0,2042574600.0,2272878600.0,1190645500.0,4718748000.0,11099550000.0,7942311000.0
2193.0,2005117700.0,2210726100.0,1172401000.0,4715166000.0,11012719000.0,7894269000.0
2194.0,2011161200.0,2170222000.0,1158001900.0,4702755000.0,10895842000.0,7783633400.0
2195.0,2012014800.0,2158804500.0,1148770700.0,4680946000.0,10823114000.0,7664395300.0
2196.0,1996258400.0,2117195600.0,1140336100.0,4638088000.0,10761180000.0,7605583400.0
2197.0,1995123000.0,2168815900.0,1139092400.0,4608705500.0,10682322000.0,7559498000.0
2198.0,2019518000.0,2128200200.0,1131614700.0,4587553300.0,10642127000.0,7514282000.0
2199.0,1960394800.0,2071346700.0,1127780600.0,4559740400.0,10557377000.0,7478674000.0
2200.0,1946496500.0,2057520400.0,1117477000.0,4542954000.0,10501329000.0,7403293000.0
2201.0,1932430200.0,2076349700.0,1114645600.0,4474442000.0,10449537000.0,7341025000.0
2202.0,2122864000.0,2051522000.0,1101731000.0,4461588000.0,10362919000.0,7309032400.0
2203.0,2007378700.0,1998046200.0,1094603600.0,4467414500.0,10303104000.0,7286574000.0
2204.0,1961072900.0,2018593200.0,1070104060.0,4514815500.0,10259485000.0,7218360000.0
2205.0,1940793000.0,1915030000.0,1070008100.0,4435310000.0,10170700000.0,7134768000.0
2206.0,1906025300.0,1919409000.0,1074087300.0,4429503000.0,10179091000.0,7081702400.0
2207.0,1916520300.0,1986130800.0,1054918200.0,4454272000.0,10120144000.0,7024368600.0
2208.0,1951555000.0,1903034400.0,1056071200.0,4437336000.0,10080801000.0,7024426000.0
2209.0,1881467100.0,1958229800.0,1043571400.0,4404525000.0,10013219000.0,6969671700.0
2210.0,1971950600.0,1853309200.0,1037300600.0,4378073000.0,9984709000.0,6901256700.0
2211.0,1973462500.0,1837095300.0,1003260860.0,4303445000.0,9947122000.0,6883217000.0
