time,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,CAMS-CSM1-0,ACCESS-CM2,CESM2-WACCM,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR
2058.0,2248246800000.0,2257720000000.0,2059745400000.0,1375834000000.0,1959739500000.0,2476215600000.0,1926070100000.0,2107761800000.0,1872172800000.0,2148727500000.0,2015163000000.0,2096400200000.0,1936624000000.0,2325182200000.0,2250895800000.0,2057187400000.0,2149492500000.0
2059.0,2228532000000.0,2231313400000.0,2037834300000.0,1349020400000.0,1939408400000.0,2464937000000.0,1912172300000.0,2082527100000.0,1851191600000.0,2125957200000.0,2012964200000.0,2096485500000.0,1922313900000.0,2295082000000.0,2224896900000.0,2045839300000.0,2113311100000.0
2060.0,2216848800000.0,2228772400000.0,2034442300000.0,1325145000000.0,1926492800000.0,2451749200000.0,1877205200000.0,2043447500000.0,1818888800000.0,2095431400000.0,1991472300000.0,2082507000000.0,1904545900000.0,2293305400000.0,2216129000000.0,2024134100000.0,2095936800000.0
2061.0,2206095000000.0,2212151400000.0,2016674700000.0,1298181900000.0,1908424000000.0,2435547100000.0,1851674100000.0,2025457000000.0,1830116900000.0,2093534200000.0,1971523800000.0,2061663700000.0,1882391300000.0,2274673300000.0,2184411300000.0,2012650000000.0,2076317500000.0
2062.0,2194468100000.0,2205966000000.0,1996023000000.0,1271118600000.0,1882844000000.0,2397735500000.0,1831879800000.0,2006993100000.0,1816492000000.0,2061452800000.0,1968326400000.0,2044534500000.0,1877935800000.0,2250457500000.0,2168356600000.0,2000391900000.0,2051443400000.0
2063.0,2177644100000.0,2202774300000.0,1983762700000.0,1241892100000.0,1876794000000.0,2376443600000.0,1819970400000.0,1986194000000.0,1798118400000.0,2031784400000.0,1952758500000.0,2030268400000.0,1859900500000.0,2231118300000.0,2139993700000.0,1988844700000.0,2042514800000.0
2064.0,2162250500000.0,2180047800000.0,1972206200000.0,1223964500000.0,1859470500000.0,2372735300000.0,1803748600000.0,1981191200000.0,1774943200000.0,2014037500000.0,1934452300000.0,2005999600000.0,1846786100000.0,2223616600000.0,2123411400000.0,1981184300000.0,2017873600000.0
2065.0,2131718300000.0,2158488000000.0,1959952300000.0,1215218200000.0,1840485500000.0,2359787300000.0,1781636300000.0,1967302000000.0,1751786800000.0,1994556800000.0,1914526800000.0,1997595600000.0,1830866100000.0,2216949000000.0,2100754100000.0,1959963100000.0,2009513000000.0
2066.0,2109008900000.0,2148682000000.0,1952745400000.0,1203847800000.0,1826754100000.0,2342799800000.0,1757054900000.0,1959015600000.0,1737400100000.0,2006402000000.0,1911447200000.0,1976992300000.0,1817663200000.0,2208655500000.0,2074983500000.0,1943461200000.0,1981565900000.0
2067.0,2088095300000.0,2146172900000.0,1948050900000.0,1185680600000.0,1811670000000.0,2354297000000.0,1734892500000.0,1933017200000.0,1723701300000.0,1990850200000.0,1906305500000.0,1953277500000.0,1800522200000.0,2205839000000.0,2059715900000.0,1934342500000.0,1947791000000.0
2068.0,2066327000000.0,2130245300000.0,1934445800000.0,1173050400000.0,1790255600000.0,2335446700000.0,1726307200000.0,1923577000000.0,1704986100000.0,1960375000000.0,1895232600000.0,1939146700000.0,1795058400000.0,2189021200000.0,2045877000000.0,1914166300000.0,1917522700000.0
2069.0,2026793900000.0,2123263000000.0,1927459800000.0,1150385400000.0,1778042500000.0,2316386200000.0,1698369500000.0,1914184400000.0,1691338900000.0,1949421000000.0,1881398600000.0,1925007300000.0,1792022000000.0,2188194500000.0,2032849100000.0,1905500700000.0,1882173100000.0
2070.0,2003719600000.0,2096312000000.0,1912277800000.0,1131984800000.0,1767891000000.0,2310892400000.0,1677493400000.0,1905683900000.0,1682411200000.0,1923906500000.0,1861160300000.0,1913936500000.0,1781705500000.0,2177004900000.0,2008180700000.0,1896762700000.0,1860446300000.0
2071.0,1998065500000.0,2094411700000.0,1898953300000.0,1116474200000.0,1754948200000.0,2303377500000.0,1659761600000.0,1877723200000.0,1683277700000.0,1902134600000.0,1840180600000.0,1905112100000.0,1769441100000.0,2164026500000.0,1993574600000.0,1894729100000.0,1842137300000.0
2072.0,1986852200000.0,2089237100000.0,1897887300000.0,1097980300000.0,1744932400000.0,2295603100000.0,1645936500000.0,1856129000000.0,1662668900000.0,1894443600000.0,1821120400000.0,1887514900000.0,1765665700000.0,2157466000000.0,1972428700000.0,1882737000000.0,1821520400000.0
2073.0,1965166600000.0,2082476000000.0,1901421500000.0,1072259000000.0,1735522900000.0,2285046000000.0,1612147300000.0,1855219200000.0,1645899700000.0,1897149400000.0,1806599500000.0,1875030600000.0,1755905700000.0,2156819800000.0,1956216700000.0,1872341600000.0,1800665000000.0
2074.0,1947524900000.0,2088522000000.0,1887310600000.0,1057834100000.0,1708519000000.0,2281499000000.0,1595929100000.0,1834880600000.0,1629736400000.0,1874131000000.0,1790118100000.0,1861200000000.0,1747510900000.0,2145367400000.0,1932597300000.0,1845747900000.0,1778307600000.0
2075.0,1926385200000.0,2076565600000.0,1867493100000.0,1051764400000.0,1693311200000.0,2270544000000.0,1590512200000.0,1816697800000.0,1638480300000.0,1850126100000.0,1778308100000.0,1846731900000.0,1733115400000.0,2146386300000.0,1923109100000.0,1842940700000.0,1769650300000.0
