time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2076.0,1485462200000.0,1369505700000.0,2018794700000.0,1904686500000.0,1769194100000.0,1758034300000.0,1422775000000.0,1074563300000.0,1618991500000.0,1796240600000.0,1620197100000.0,1318864800000.0,1425079700000.0,1243831500000.0,2228668000000.0,1628563300000.0,2079741600000.0
2077.0,1479272600000.0,1351577100000.0,2011262600000.0,1893193100000.0,1773416300000.0,1745195200000.0,1401761700000.0,1063680700000.0,1608247300000.0,1780077200000.0,1616129200000.0,1305023000000.0,1411687000000.0,1230403300000.0,2212790800000.0,1615451300000.0,2064836100000.0
2078.0,1461825400000.0,1334914000000.0,1999917800000.0,1885647100000.0,1771520300000.0,1721043300000.0,1380028100000.0,1048998250000.0,1592507100000.0,1764787200000.0,1598729200000.0,1290304900000.0,1400931900000.0,1214648800000.0,2195579000000.0,1602615600000.0,2045562700000.0
2079.0,1455790900000.0,1320966600000.0,1981993500000.0,1878877400000.0,1764357700000.0,1704039500000.0,1363421200000.0,1035695160000.0,1578069500000.0,1747113300000.0,1581618000000.0,1279829700000.0,1382961600000.0,1203408000000.0,2165607600000.0,1593810900000.0,2026510600000.0
2080.0,1441342400000.0,1302927200000.0,1953433600000.0,1874842900000.0,1756903200000.0,1694908400000.0,1342532700000.0,1013271200000.0,1562604100000.0,1726375000000.0,1565120700000.0,1272670700000.0,1370989500000.0,1190340900000.0,2156505300000.0,1583810600000.0,2015340800000.0
2081.0,1437505400000.0,1287750400000.0,1940400100000.0,1875291000000.0,1750812300000.0,1692775200000.0,1328456900000.0,1004817600000.0,1549518800000.0,1711400700000.0,1550591000000.0,1256162200000.0,1364533800000.0,1168887900000.0,2139772200000.0,1567639700000.0,1998441200000.0
2082.0,1429963400000.0,1278793100000.0,1931050700000.0,1869246400000.0,1741844300000.0,1679654800000.0,1308433300000.0,996921600000.0,1530746400000.0,1700084200000.0,1534013500000.0,1249490900000.0,1357957800000.0,1155344100000.0,2131631900000.0,1553455100000.0,1995880100000.0
2083.0,1417320700000.0,1269777800000.0,1920351100000.0,1867591300000.0,1727879200000.0,1670169600000.0,1294532900000.0,983854700000.0,1525285100000.0,1699162500000.0,1516887900000.0,1241965400000.0,1343003800000.0,1147696700000.0,2114650600000.0,1540323300000.0,1968425300000.0
2084.0,1412991700000.0,1260669400000.0,1902518600000.0,1856785200000.0,1722896200000.0,1662626700000.0,1279249900000.0,966981450000.0,1504530000000.0,1688321100000.0,1503140200000.0,1231729600000.0,1331739100000.0,1128696800000.0,2111756800000.0,1538318400000.0,1950814200000.0
2085.0,1408975600000.0,1248131700000.0,1875944700000.0,1842713500000.0,1716961400000.0,1645518100000.0,1262373300000.0,955246600000.0,1501029700000.0,1679730300000.0,1501798200000.0,1220393400000.0,1319086200000.0,1113931100000.0,2095017400000.0,1526061700000.0,1947849500000.0
2086.0,1402660000000.0,1239326300000.0,1852294300000.0,1836346200000.0,1713881000000.0,1639017100000.0,1245680100000.0,953678600000.0,1491154800000.0,1671678800000.0,1496395000000.0,1210827400000.0,1307188000000.0,1094492400000.0,2082351900000.0,1524700800000.0,1954593800000.0
2087.0,1397837800000.0,1224145000000.0,1830215400000.0,1831941000000.0,1702634800000.0,1633106300000.0,1230390400000.0,952290640000.0,1475700700000.0,1665972200000.0,1480608200000.0,1199612500000.0,1301707500000.0,1076215800000.0,2062921400000.0,1516237100000.0,1948689100000.0
2088.0,1383235800000.0,1210606200000.0,1813251800000.0,1830858800000.0,1687328800000.0,1619127400000.0,1219864200000.0,936586600000.0,1458475600000.0,1656073500000.0,1470130800000.0,1193536500000.0,1295938700000.0,1056548100000.0,2053757500000.0,1502420100000.0,1940618500000.0
2089.0,1375994400000.0,1188480500000.0,1806402700000.0,1824840500000.0,1674790700000.0,1614933500000.0,1209717400000.0,926201400000.0,1451304800000.0,1650655900000.0,1459628000000.0,1189203400000.0,1291640000000.0,1048175600000.0,2041759500000.0,1491481500000.0,1927175600000.0
2090.0,1381121100000.0,1173432600000.0,1785108600000.0,1823918900000.0,1670444200000.0,1604181000000.0,1199461400000.0,924844160000.0,1442537100000.0,1639222000000.0,1454093200000.0,1186697000000.0,1284776300000.0,1034963700000.0,2030667000000.0,1490784200000.0,1910470300000.0
2091.0,1374637900000.0,1159376400000.0,1768296400000.0,1822397400000.0,1655842500000.0,1593118200000.0,1193666200000.0,914703840000.0,1430964900000.0,1633286400000.0,1442288500000.0,1185738000000.0,1283363000000.0,1014257550000.0,2021297900000.0,1472143700000.0,1912246800000.0
2092.0,1378739200000.0,1148004000000.0,1750638700000.0,1808065200000.0,1646553700000.0,1595372200000.0,1178353100000.0,901820200000.0,1423458600000.0,1623380300000.0,1440355300000.0,1183575300000.0,1280560200000.0,1004901760000.0,2009841700000.0,1469216300000.0,1905397500000.0
