time,MPI-ESM1-2-HR,TAIESM1,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,EC-EARTH3,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM
2067.0,3572112600000.0,2687940400000.0,3084135000000.0,3236034800000.0,3328058900000.0,2930302500000.0,2890923500000.0,2800573000000.0,3460124600000.0,3452006300000.0,3020556900000.0,2884163600000.0,3019252000000.0,3268374400000.0,2847919300000.0,3362096200000.0,2872920000000.0,3316194700000.0,3225406400000.0
2068.0,3538519300000.0,2640523600000.0,3039782500000.0,3215187000000.0,3291414300000.0,2876238000000.0,2864764000000.0,2777525300000.0,3427463000000.0,3429999300000.0,2973599500000.0,2827927000000.0,2965591800000.0,3246157500000.0,2796349600000.0,3334497600000.0,2836521500000.0,3284383000000.0,3187493800000.0
2069.0,3512791700000.0,2585259000000.0,3007532500000.0,3193390800000.0,3245056700000.0,2832078000000.0,2839606000000.0,2741951000000.0,3408276200000.0,3402474500000.0,2919272800000.0,2776049600000.0,2910748100000.0,3191646700000.0,2761528200000.0,3313047400000.0,2780560600000.0,3232339600000.0,3171975400000.0
2070.0,3492355200000.0,2545642000000.0,2972898300000.0,3167535200000.0,3219741000000.0,2787064400000.0,2801821500000.0,2689467400000.0,3391746200000.0,3380947500000.0,2879568700000.0,2741529500000.0,2839766000000.0,3139894500000.0,2719423000000.0,3286393400000.0,2730952000000.0,3209623800000.0,3131380000000.0
2071.0,3455295700000.0,2494709000000.0,2934456500000.0,3138705200000.0,3192194900000.0,2742304600000.0,2762214200000.0,2649094400000.0,3371686000000.0,3353147000000.0,2855132500000.0,2693650700000.0,2786115000000.0,3113760800000.0,2661840000000.0,3252527800000.0,2668238500000.0,3185080000000.0,3088370000000.0
2072.0,3423139500000.0,2430255200000.0,2890967000000.0,3105030100000.0,3166533300000.0,2710555000000.0,2732248500000.0,2614917300000.0,3345002500000.0,3317470300000.0,2805356600000.0,2649469200000.0,2743397000000.0,3084500300000.0,2613612000000.0,3226162000000.0,2617354700000.0,3152613700000.0,3060687700000.0
2073.0,3394863600000.0,2386385700000.0,2854673000000.0,3090609900000.0,3133948000000.0,2656213400000.0,2693019700000.0,2570515000000.0,3314033000000.0,3285472500000.0,2749352400000.0,2599101700000.0,2686892000000.0,3052857000000.0,2566385000000.0,3195606100000.0,2541354500000.0,3115796100000.0,3020928800000.0
2074.0,3360987300000.0,2346364400000.0,2800977700000.0,3081685400000.0,3116071400000.0,2611428500000.0,2652357300000.0,2505066000000.0,3293137000000.0,3268908700000.0,2714693800000.0,2555536500000.0,2618169800000.0,3007294700000.0,2525974200000.0,3165623000000.0,2494707500000.0,3070210000000.0,2981635300000.0
2075.0,3326964000000.0,2290217600000.0,2764870500000.0,3054473600000.0,3082945600000.0,2569664500000.0,2608557000000.0,2463904000000.0,3270922700000.0,3229616000000.0,2667162400000.0,2500753600000.0,2570653500000.0,2973663200000.0,2483111300000.0,3141720300000.0,2455467700000.0,3048313000000.0,2961637400000.0
2076.0,3304554000000.0,2252348300000.0,2723816100000.0,3025837200000.0,3027397000000.0,2504714600000.0,2545627000000.0,2416915800000.0,3245225500000.0,3216662900000.0,2625760700000.0,2437235900000.0,2515966400000.0,2947667000000.0,2431412600000.0,3130746200000.0,2385741600000.0,3021242600000.0,2938279000000.0
