time,MRI-ESM2-0,EC-EARTH3,CESM2-WACCM,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,INM-CM5-0,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4
2072.0,1258770500000.0,1064397200000.0,1343381300000.0,1596968400000.0,1177541100000.0,1393603500000.0,1619730000000.0,1358142200000.0,1317130200000.0,1477656300000.0,1645584800000.0,1167322600000.0,1398516100000.0
2073.0,1229141800000.0,1038181860000.0,1310045800000.0,1568253800000.0,1153061700000.0,1372182000000.0,1584524600000.0,1330318800000.0,1288156100000.0,1456821100000.0,1612296200000.0,1120610200000.0,1367738000000.0
2074.0,1203817500000.0,1014405660000.0,1274531400000.0,1536064000000.0,1124437700000.0,1339357100000.0,1545570100000.0,1303818400000.0,1259350400000.0,1424029000000.0,1596658200000.0,1077381700000.0,1337942900000.0
2075.0,1181129500000.0,992147870000.0,1248760400000.0,1500406500000.0,1100314800000.0,1308909900000.0,1516417700000.0,1276561300000.0,1229807600000.0,1405531700000.0,1594419300000.0,1046142000000.0,1312347100000.0
2076.0,1148036600000.0,969895200000.0,1221845300000.0,1481211100000.0,1070637900000.0,1286547700000.0,1485135300000.0,1238323300000.0,1203453600000.0,1369204300000.0,1563773500000.0,1005001050000.0,1285583000000.0
2077.0,1118305600000.0,944542650000.0,1188308800000.0,1450012300000.0,1041532500000.0,1254954100000.0,1448453600000.0,1204559500000.0,1179755700000.0,1332983600000.0,1536551700000.0,967089650000.0,1243005700000.0
2078.0,1091743600000.0,923392400000.0,1170789400000.0,1418939900000.0,1012264800000.0,1222911500000.0,1394173800000.0,1179324800000.0,1153336500000.0,1288155300000.0,1503815800000.0,932966900000.0,1215949400000.0
2079.0,1066621900000.0,901456200000.0,1139707500000.0,1389655600000.0,993547900000.0,1190041600000.0,1356523800000.0,1168018800000.0,1125431900000.0,1251205700000.0,1473401500000.0,901423240000.0,1192365300000.0
2080.0,1041268300000.0,875296000000.0,1108713100000.0,1349780400000.0,968230040000.0,1175524100000.0,1326335000000.0,1143745500000.0,1087054940000.0,1221513300000.0,1451416200000.0,870773560000.0,1166868900000.0
2081.0,1016811550000.0,845950940000.0,1087694300000.0,1320439000000.0,944297500000.0,1157649900000.0,1289276000000.0,1117726200000.0,1052250730000.0,1186999700000.0,1416243200000.0,836139550000.0,1146789800000.0
2082.0,998649230000.0,819877400000.0,1063454300000.0,1299789100000.0,921114400000.0,1141082000000.0,1247850700000.0,1098288460000.0,1030952300000.0,1151594700000.0,1383209400000.0,804360550000.0,1128200300000.0
2083.0,975230340000.0,798250430000.0,1035633000000.0,1270516200000.0,901063700000.0,1123526600000.0,1202745500000.0,1078394360000.0,1002201200000.0,1129129600000.0,1348833500000.0,766287300000.0,1105924700000.0
2084.0,950942400000.0,778052570000.0,1007747600000.0,1254899400000.0,875957600000.0,1103866200000.0,1173628900000.0,1044447400000.0,970978560000.0,1112813300000.0,1319528300000.0,738580700000.0,1073612650000.0
2085.0,919737470000.0,752997600000.0,987371100000.0,1222496100000.0,850160650000.0,1073462700000.0,1140401100000.0,1024441600000.0,939600640000.0,1083657400000.0,1289354000000.0,707478300000.0,1051067550000.0
2086.0,901046200000.0,723761100000.0,965979400000.0,1205818900000.0,831153100000.0,1045762100000.0,1102016700000.0,1004979200000.0,917030300000.0,1057603500000.0,1264878400000.0,678923140000.0,1030891000000.0
2087.0,877394600000.0,700732200000.0,938381600000.0,1182372200000.0,812257700000.0,1013839800000.0,1064960100000.0,979990940000.0,895731500000.0,1033898030000.0,1236757400000.0,650606700000.0,1011988200000.0
2088.0,856591430000.0,679494200000.0,918965100000.0,1159334000000.0,791159240000.0,995014000000.0,1035080560000.0,964794250000.0,875461740000.0,997686050000.0,1198505200000.0,625809000000.0,991343740000.0
