time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2069.0,101429080000.0,96509166000.0,100593790000.0,101289190000.0,100979700000.0,100344275000.0,101827460000.0,101605745000.0,100835370000.0,90107740000.0,102237970000.0,99877690000.0,99451220000.0,90435860000.0
2070.0,101604290000.0,96236840000.0,100549060000.0,101224380000.0,100786530000.0,100180290000.0,101770480000.0,101547600000.0,100715810000.0,89479500000.0,102423085000.0,99543370000.0,99319870000.0,90063315000.0
2071.0,101383840000.0,95798034000.0,100374590000.0,101018660000.0,100692570000.0,99869310000.0,101854265000.0,101516480000.0,100533360000.0,88803385000.0,102128304000.0,99388440000.0,99512600000.0,89597510000.0
2072.0,101381210000.0,95560925000.0,100152880000.0,100962060000.0,100498465000.0,99602880000.0,101562200000.0,101361010000.0,100374430000.0,88215310000.0,101974020000.0,99238010000.0,99135650000.0,88973100000.0
2073.0,101121016000.0,95177080000.0,100092990000.0,100850920000.0,100285180000.0,99423570000.0,101434590000.0,101184840000.0,100177280000.0,87775660000.0,101832660000.0,99005770000.0,99012480000.0,88435960000.0
2074.0,100995030000.0,94824450000.0,100012830000.0,100583735000.0,100116990000.0,99407190000.0,101362320000.0,101021800000.0,100160864000.0,86834630000.0,102104310000.0,98749390000.0,98715310000.0,88030350000.0
2075.0,100883200000.0,94480835000.0,99798960000.0,100417990000.0,99950900000.0,99253850000.0,101259860000.0,100863840000.0,99967310000.0,86056390000.0,101715214000.0,98700860000.0,98506240000.0,87576750000.0
2076.0,100672930000.0,94067730000.0,99985510000.0,100833950000.0,99942570000.0,98962840000.0,101132280000.0,100689300000.0,101232670000.0,85495530000.0,101632770000.0,98536880000.0,98234470000.0,86923630000.0
2077.0,100526530000.0,93827040000.0,99783680000.0,100230955000.0,99829980000.0,98643170000.0,101234840000.0,100558774000.0,100253950000.0,84980840000.0,101766324000.0,98292330000.0,98058360000.0,86262825000.0
2078.0,100391666000.0,93490840000.0,99467035000.0,99990410000.0,99698110000.0,98882640000.0,101078606000.0,101131460000.0,100417530000.0,84192354000.0,101547490000.0,98375720000.0,97829460000.0,85843540000.0
2079.0,100252385000.0,93142190000.0,99363490000.0,99848905000.0,100147520000.0,98150840000.0,100945060000.0,100590354000.0,99848440000.0,83495550000.0,101416660000.0,97920120000.0,97648890000.0,85459526000.0
2080.0,100068475000.0,92783124000.0,99620720000.0,100701330000.0,99538310000.0,97924940000.0,100825020000.0,100276780000.0,100394320000.0,82666300000.0,101222840000.0,97758890000.0,97402100000.0,84836010000.0
2081.0,100255790000.0,92416520000.0,99110410000.0,99729056000.0,99221030000.0,97862370000.0,100709190000.0,100101020000.0,99697880000.0,82099770000.0,101108950000.0,97537210000.0,97653240000.0,84334210000.0
2082.0,99960710000.0,91999260000.0,99218784000.0,99426290000.0,99073655000.0,97465080000.0,100585054000.0,100097440000.0,99582075000.0,80598100000.0,101383020000.0,97345570000.0,97073900000.0,83819600000.0
2083.0,99763044000.0,91555455000.0,98780250000.0,99261570000.0,98898760000.0,97192030000.0,100434180000.0,99831560000.0,99623490000.0,79881806000.0,100933560000.0,97146660000.0,96847040000.0,83546915000.0
2084.0,100102780000.0,91264850000.0,98533890000.0,99411610000.0,98850260000.0,96939260000.0,100328776000.0,99681124000.0,99228164000.0,79164800000.0,100936760000.0,96862960000.0,96702380000.0,82617290000.0
2085.0,99717120000.0,90992870000.0,98370630000.0,98983900000.0,98790580000.0,96686980000.0,100256530000.0,99566470000.0,99059696000.0,78806610000.0,101073180000.0,96597150000.0,96401490000.0,82258660000.0
