time,BCC-CSM2-MR,CMCC-CM2-SR5,IPSL-CM6A-LR,INM-CM5-0,MRI-ESM2-0,CAMS-CSM1-0,MPI-ESM1-2-HR,TAIESM1,EC-EARTH3-VEG,FGOALS-F3-L,GFDL-ESM4,CESM2-WACCM,NORESM2-MM,ACCESS-CM2,CESM2,EC-EARTH3,ACCESS-ESM1-5,CANESM5,INM-CM4-8
2077.0,3844375300.0,3673328400.0,2153226800.0,5266544000.0,3120140500.0,5846561000.0,4636457000.0,2418636800.0,3754099700.0,4565485000.0,4057879800.0,3383006500.0,4106154500.0,2830490400.0,3305441000.0,3267252500.0,3117887200.0,2057605800.0,5688840000.0
2078.0,3726548500.0,3520513000.0,1994933400.0,5170273000.0,3027210500.0,5692912000.0,4521664000.0,2342824200.0,3611560000.0,4406704600.0,3935508700.0,3235614700.0,3972263700.0,2744809700.0,3197899300.0,3174485000.0,3035848700.0,1974586500.0,5562255000.0
2079.0,3640473000.0,3446641700.0,1860504300.0,5055838000.0,2926484200.0,5563508700.0,4406026000.0,2273942500.0,3472228000.0,4239312400.0,3786084000.0,3091371000.0,3869871400.0,2637788700.0,3069728500.0,3070733000.0,2946914300.0,1911552900.0,5437990400.0
2080.0,3553698800.0,3303584000.0,1751528800.0,4939325000.0,2841406700.0,5450194000.0,4315378000.0,2200370400.0,3325505800.0,4037876500.0,3665096200.0,2978015700.0,3745093400.0,2561759700.0,2947102000.0,2978492200.0,2848593200.0,1853993900.0,5248495600.0
2081.0,3422282000.0,3180340200.0,1641282300.0,4834735600.0,2759087600.0,5526512000.0,4191994000.0,2135712800.0,3185011000.0,3940233700.0,3568247800.0,2891603700.0,3628953300.0,2466238000.0,2842703000.0,2887758800.0,2732616400.0,1763044900.0,5126704000.0
2082.0,3301257000.0,3083339300.0,1500859800.0,4751699000.0,2665794600.0,5218813000.0,4087245000.0,2085799800.0,3041485600.0,3732486000.0,3529130200.0,2780193800.0,3533364000.0,2384494600.0,2744889600.0,2782649000.0,2654084600.0,1700927700.0,5004822500.0
2083.0,3212570400.0,2980423200.0,1544079400.0,4657321000.0,2566633200.0,5210108400.0,3986448400.0,1999071600.0,2884672000.0,3542100500.0,3442333200.0,2658138000.0,3419008500.0,2323137800.0,2656717800.0,2699953200.0,2566411500.0,1601566700.0,4875652600.0
2084.0,3136786700.0,2889263000.0,1326843500.0,4585335000.0,2471736800.0,5027419000.0,3863530500.0,1911082900.0,2739291600.0,3404343600.0,3303275300.0,2580634600.0,3309874700.0,2250216000.0,2643499300.0,2607298300.0,2480286000.0,1519078100.0,4760174600.0
2085.0,3024902400.0,2797141500.0,1227352300.0,4510247400.0,2404940000.0,4885528000.0,3756343000.0,1833903400.0,2643828000.0,3254260500.0,3205866200.0,2479864800.0,3212796000.0,2181673700.0,2492659700.0,2534078700.0,2413943600.0,1449740500.0,4660761600.0
2086.0,2922062600.0,2710172200.0,1305419500.0,4418021000.0,2343957500.0,4755390500.0,3665795000.0,1762283000.0,2526531300.0,3111066600.0,3115623700.0,2412052500.0,3098272800.0,2104315300.0,2420004900.0,2469677800.0,2342096400.0,1397557900.0,4548208600.0
2087.0,2835940400.0,2616583400.0,1116306600.0,4351950300.0,2290381600.0,4624069000.0,3577395000.0,1689471700.0,2400831700.0,2978440700.0,3068839200.0,2325083100.0,2985161500.0,2030799500.0,2345170200.0,2386532000.0,2281938400.0,1336214400.0,4455446000.0
2088.0,2747948800.0,2535087900.0,1044855230.0,4270111500.0,2198272000.0,4465409500.0,3447483400.0,1630921700.0,2275253800.0,2834431500.0,2951022300.0,2240789500.0,2878699300.0,1993551900.0,2261130200.0,2294234600.0,2206741800.0,1286362500.0,4372182000.0
2089.0,2660505900.0,2459288300.0,959968060.0,4187938000.0,2124971400.0,4392109000.0,3340194800.0,1567912000.0,2181785300.0,2692610800.0,2907295700.0,2173256000.0,2777310000.0,1914063000.0,2167950000.0,2210055400.0,2122082600.0,1233607000.0,4280959200.0
2090.0,2707047200.0,2391566300.0,966932500.0,4115286000.0,2062171300.0,4632079000.0,3268584400.0,1508339500.0,2093701600.0,2565598700.0,2859032300.0,2137291900.0,2692195800.0,1852627200.0,2092829400.0,2132334000.0,2066753900.0,1160908400.0,4206328800.0
2091.0,2579435000.0,2292544800.0,835735300.0,4045725200.0,2013600900.0,4404445700.0,3170758000.0,1452834800.0,2013097600.0,2451310000.0,2760394200.0,2041989200.0,2595671800.0,1804447500.0,2000533900.0,2049593300.0,1990270800.0,1099418600.0,4139176400.0
2092.0,2531174400.0,2213763800.0,792079500.0,3975359200.0,1974891100.0,4190846200.0,3058645800.0,1374850800.0,1947294200.0,2328101000.0,2690670000.0,1977747600.0,2507355400.0,1758416300.0,1901061500.0,1959497300.0,1921643500.0,1051131140.0,4066417200.0
