time,MRI-ESM2-0,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2216.0,4121550000000.0,2004676000000.0,543746100000.0,804456800000.0,724250400000.0,671921500000.0
2217.0,4125906400000.0,1991158900000.0,534449000000.0,793019500000.0,721687200000.0,669562960000.0
2218.0,4127948800000.0,1977444200000.0,528065230000.0,782421260000.0,715303300000.0,665846000000.0
2219.0,4141460200000.0,1965043200000.0,520754100000.0,773832600000.0,706468050000.0,662741650000.0
2220.0,4151285400000.0,1954752000000.0,513421440000.0,767721800000.0,699617500000.0,659205650000.0
2221.0,4150856800000.0,1946450300000.0,507538700000.0,764764200000.0,693998100000.0,654026600000.0
2222.0,4161834600000.0,1934737300000.0,503450700000.0,756701000000.0,688612500000.0,651568400000.0
2223.0,4161515300000.0,1923144400000.0,499468730000.0,749188300000.0,685800160000.0,649594140000.0
2224.0,4161614400000.0,1914157700000.0,494811100000.0,742539700000.0,675746940000.0,648492600000.0
2225.0,4162063700000.0,1903948300000.0,486947300000.0,734737800000.0,670203000000.0,646670700000.0
2226.0,4169813500000.0,1885744900000.0,479960100000.0,724556640000.0,665543300000.0,642139000000.0
2227.0,4175962300000.0,1869034800000.0,477233300000.0,713567800000.0,662720100000.0,639038460000.0
2228.0,4177828000000.0,1857047800000.0,473657900000.0,705489800000.0,656155340000.0,637458500000.0
2229.0,4185845700000.0,1848035600000.0,469456320000.0,698846500000.0,648861000000.0,633615800000.0
2230.0,4193613000000.0,1834070000000.0,464323640000.0,692360450000.0,641905260000.0,628550140000.0
2231.0,4199421000000.0,1824416500000.0,459445930000.0,684492850000.0,637407100000.0,627702560000.0
2232.0,4214750700000.0,1823630600000.0,452951050000.0,676470060000.0,631642000000.0,622721800000.0
2233.0,4231819700000.0,1816813800000.0,446740170000.0,665861700000.0,625374600000.0,620700900000.0
2234.0,4247808400000.0,1802005800000.0,445015720000.0,657386240000.0,619873200000.0,620398600000.0
2235.0,4259732800000.0,1785009100000.0,442122700000.0,647423900000.0,612418800000.0,617747050000.0
2236.0,4280278300000.0,1776188000000.0,439766750000.0,640851200000.0,610141200000.0,617097200000.0
2237.0,4298988600000.0,1765421200000.0,440876000000.0,634638040000.0,604472700000.0,613143600000.0
2238.0,4319557500000.0,1751435200000.0,436241530000.0,626243140000.0,601017400000.0,613331100000.0
2239.0,4352646300000.0,1739384300000.0,434896400000.0,617931800000.0,598714500000.0,614613000000.0
2240.0,4379462600000.0,1733179700000.0,430449460000.0,611160100000.0,593233050000.0,610821500000.0
2241.0,4399742600000.0,1722306700000.0,429200770000.0,604997400000.0,587763600000.0,611784000000.0
2242.0,4408406000000.0,1710062300000.0,424060400000.0,597925170000.0,581738950000.0,609114850000.0
2243.0,4426908600000.0,1700211300000.0,421606900000.0,593791000000.0,579946600000.0,606969300000.0
2244.0,4444127000000.0,1692075700000.0,418007020000.0,585126250000.0,574244650000.0,605362300000.0
2245.0,4463722500000.0,1680714900000.0,414731400000.0,580678250000.0,572486000000.0,604925130000.0
2246.0,4479636700000.0,1671779000000.0,413997200000.0,578563740000.0,569044200000.0,604976050000.0
2247.0,4496195300000.0,1664294800000.0,409430160000.0,568484950000.0,565339100000.0,601850300000.0
2248.0,4527895300000.0,1655028400000.0,404954550000.0,561443300000.0,561277040000.0,600559300000.0
2249.0,4548720600000.0,1647126600000.0,399722940000.0,555335750000.0,557828100000.0,599613050000.0
2250.0,4564638500000.0,1641327200000.0,395054450000.0,549134730000.0,555002040000.0,599106300000.0
