time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2091.0,40575650000000.0,33003143000000.0,33757030000000.0,37397610000000.0,24718596000000.0,24215095000000.0,23036491000000.0,36424960000000.0,31119540000000.0,29157522000000.0
2092.0,40371195000000.0,32709125000000.0,33466805000000.0,37265615000000.0,24215349000000.0,23538533000000.0,22571860000000.0,36230030000000.0,30699450000000.0,28726675000000.0
2093.0,40205520000000.0,32433376000000.0,33144250000000.0,37176474000000.0,23539457000000.0,22985908000000.0,22121407000000.0,35927406000000.0,30346469000000.0,28236870000000.0
2094.0,40051170000000.0,32166833000000.0,32928365000000.0,37062028000000.0,22850082000000.0,22377850000000.0,21679400000000.0,35777280000000.0,29997820000000.0,27725073000000.0
2095.0,39756092000000.0,31802977000000.0,32694512000000.0,36845346000000.0,22346545000000.0,21703017000000.0,21135817000000.0,35494834000000.0,29694076000000.0,27238116000000.0
2096.0,39494460000000.0,31461820000000.0,32374990000000.0,36584087000000.0,21826986000000.0,20973378000000.0,20427921000000.0,35276150000000.0,29281971000000.0,26816687000000.0
2097.0,39295410000000.0,31018160000000.0,32022146000000.0,36318327000000.0,21315950000000.0,20306180000000.0,19854778000000.0,35020717000000.0,28978630000000.0,26404253000000.0
2098.0,39078900000000.0,30550800000000.0,31698662000000.0,36055336000000.0,20786110000000.0,19715848000000.0,19306402000000.0,34804618000000.0,28569892000000.0,26008600000000.0
2099.0,38908297000000.0,30155741000000.0,31407374000000.0,35814524000000.0,20265880000000.0,19032135000000.0,18852140000000.0,34510828000000.0,28278826000000.0,25619597000000.0
2100.0,38536347000000.0,29810414000000.0,31113800000000.0,35598710000000.0,19733917000000.0,18430187000000.0,18388556000000.0,34377710000000.0,28001975000000.0,25101282000000.0
