time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2070.0,1994436100000.0,2536846100000.0,2517020400000.0,2533909300000.0,2616078400000.0,2440735500000.0,2458042200000.0,2226065800000.0,2641055700000.0,2277000600000.0,3236578700000.0,2861893700000.0,2828301200000.0,2745443500000.0
2071.0,1976180900000.0,2521389900000.0,2509122600000.0,2497959000000.0,2601674000000.0,2426716300000.0,2429153400000.0,2180777100000.0,2620040200000.0,2254552200000.0,3226280000000.0,2844639000000.0,2812231000000.0,2734777000000.0
2072.0,1948069300000.0,2509016100000.0,2491035400000.0,2464865000000.0,2577987500000.0,2406255700000.0,2393990000000.0,2138838300000.0,2598010600000.0,2232595000000.0,3216471000000.0,2837371700000.0,2797232500000.0,2717306000000.0
2073.0,1918222600000.0,2489976000000.0,2475450400000.0,2432528300000.0,2559646400000.0,2394966700000.0,2376420300000.0,2102517800000.0,2575896200000.0,2207927800000.0,3201249000000.0,2822128000000.0,2789712600000.0,2710519700000.0
2074.0,1887296800000.0,2479486700000.0,2457046600000.0,2402102800000.0,2545074800000.0,2380692500000.0,2351471300000.0,2063076800000.0,2554408000000.0,2182037600000.0,3202705800000.0,2801897300000.0,2773683800000.0,2698610700000.0
2075.0,1861826600000.0,2467101100000.0,2438199500000.0,2375538700000.0,2527726100000.0,2369866400000.0,2317503400000.0,2024805200000.0,2516351000000.0,2161471700000.0,3195692600000.0,2791473400000.0,2758956000000.0,2685730600000.0
2076.0,1838649600000.0,2449596000000.0,2413155800000.0,2347375300000.0,2512763200000.0,2357228500000.0,2281471000000.0,1989527900000.0,2497176400000.0,2133056800000.0,3198546300000.0,2779510500000.0,2735825700000.0,2670984000000.0
2077.0,1820183000000.0,2429350600000.0,2398096700000.0,2317171000000.0,2509733400000.0,2339716500000.0,2243858300000.0,1959310100000.0,2471263000000.0,2117594400000.0,3193712400000.0,2759849700000.0,2718438500000.0,2662738700000.0
2078.0,1795791000000.0,2409320000000.0,2387770600000.0,2293373900000.0,2498944000000.0,2317407700000.0,2213475500000.0,1923113400000.0,2443964800000.0,2100860000000.0,3192503700000.0,2759181000000.0,2696235700000.0,2652375400000.0
2079.0,1772565800000.0,2385415200000.0,2361393200000.0,2256689700000.0,2494948200000.0,2303022300000.0,2185739500000.0,1887194300000.0,2427499000000.0,2076175000000.0,3177229300000.0,2735993300000.0,2676082900000.0,2643491600000.0
2080.0,1742874500000.0,2370145000000.0,2340739400000.0,2219540500000.0,2484317200000.0,2296999800000.0,2152637900000.0,1848701000000.0,2420676500000.0,2057908600000.0,3175752700000.0,2727761100000.0,2665227000000.0,2629119500000.0
2081.0,1719271300000.0,2353609600000.0,2328079000000.0,2177645400000.0,2477218000000.0,2281775300000.0,2116628800000.0,1815222200000.0,2402992500000.0,2040050500000.0,3159560800000.0,2709069200000.0,2653499000000.0,2617477000000.0
2082.0,1694138100000.0,2338919000000.0,2310451200000.0,2156631400000.0,2471149200000.0,2260299700000.0,2086966400000.0,1775775500000.0,2377553500000.0,2025782500000.0,3156843000000.0,2698867600000.0,2637880400000.0,2601536000000.0
2083.0,1667429600000.0,2323251700000.0,2287817500000.0,2131986100000.0,2459613800000.0,2253007600000.0,2059314300000.0,1740406100000.0,2352425700000.0,2003416500000.0,3147526300000.0,2694229300000.0,2623948700000.0,2588599000000.0
2084.0,1644394600000.0,2307282400000.0,2272458700000.0,2120726900000.0,2441414700000.0,2243753000000.0,2030488600000.0,1708227700000.0,2331394000000.0,1984456400000.0,3141228000000.0,2677075000000.0,2608759800000.0,2569496200000.0
2085.0,1617814700000.0,2285852200000.0,2258357200000.0,2106198600000.0,2439343800000.0,2232617800000.0,1992593400000.0,1671632700000.0,2312711200000.0,1959690900000.0,3136947500000.0,2661809400000.0,2597375400000.0,2562443000000.0
2086.0,1589068800000.0,2267809000000.0,2244678800000.0,2088053400000.0,2435135600000.0,2229104500000.0,1963622700000.0,1641114900000.0,2299064700000.0,1928802100000.0,3136948300000.0,2653726000000.0,2581913000000.0,2548881200000.0
2087.0,1561680500000.0,2253718600000.0,2232555700000.0,2071371700000.0,2415352300000.0,2222885200000.0,1935042400000.0,1600534000000.0,2283162300000.0,1901550800000.0,3131727400000.0,2636259800000.0,2567342700000.0,2537755200000.0
2088.0,1537998800000.0,2235477800000.0,2217757000000.0,2054088400000.0,2404850900000.0,2222154800000.0,1899716400000.0,1566133300000.0,2267447300000.0,1877805600000.0,3127054400000.0,2629832000000.0,2552340700000.0,2524196600000.0
2089.0,1507158300000.0,2218619800000.0,2204403200000.0,2037800100000.0,2399198500000.0,2210387700000.0,1867402600000.0,1537756100000.0,2246797200000.0,1852348700000.0,3117951500000.0,2618544600000.0,2535509000000.0,2508042800000.0
2090.0,1479653600000.0,2207014700000.0,2178481700000.0,2028987400000.0,2392809300000.0,2203701500000.0,1832573100000.0,1498525100000.0,2230386000000.0,1830870800000.0,3113619000000.0,2600276600000.0,2520381000000.0,2487860900000.0
2091.0,1455821800000.0,2187685500000.0,2159575600000.0,2016141200000.0,2373173600000.0,2190374200000.0,1804369400000.0,1452504400000.0,2213146000000.0,1802660500000.0,3103477200000.0,2593768000000.0,2497956300000.0,2469000400000.0
2092.0,1434311700000.0,2169984900000.0,2141103800000.0,2004126800000.0,2363169400000.0,2180534100000.0,1775197100000.0,1406626400000.0,2195392700000.0,1777440500000.0,3099334500000.0,2588422700000.0,2482592000000.0,2462611400000.0
2093.0,1408818200000.0,2144069500000.0,2117476300000.0,1995685800000.0,2352885300000.0,2174432600000.0,1751214900000.0,1370529600000.0,2173039800000.0,1759147200000.0,3093084500000.0,2577523500000.0,2465296000000.0,2446517300000.0
2094.0,1380294600000.0,2121245900000.0,2098043300000.0,1982059900000.0,2335724300000.0,2163629100000.0,1726481200000.0,1325460100000.0,2143332200000.0,1731167400000.0,3085958400000.0,2565798400000.0,2446470400000.0,2428074000000.0
2095.0,1354879200000.0,2099772000000.0,2079846600000.0,1970427100000.0,2324331500000.0,2142189400000.0,1684708800000.0,1277561900000.0,2112287000000.0,1706667900000.0,3083569000000.0,2553923500000.0,2432159400000.0,2417594700000.0
2096.0,1323501400000.0,2080925700000.0,2072020000000.0,1956087100000.0,2310039700000.0,2139235500000.0,1654524000000.0,1236011000000.0,2078838500000.0,1691704900000.0,3078893600000.0,2548815000000.0,2418360500000.0,2403944400000.0
2097.0,1290878500000.0,2058902600000.0,2052828600000.0,1936973900000.0,2296532400000.0,2125700300000.0,1626953600000.0,1197587300000.0,2059219900000.0,1672226300000.0,3067019300000.0,2539895400000.0,2408146300000.0,2389836800000.0
2098.0,1261258300000.0,2042257100000.0,2040327200000.0,1923883500000.0,2287848400000.0,2116666100000.0,1586964500000.0,1161849900000.0,2038500700000.0,1652255800000.0,3065615500000.0,2534095200000.0,2396505200000.0,2387619600000.0
2099.0,1234299400000.0,2020397500000.0,2026910800000.0,1900415200000.0,2279407600000.0,2109031300000.0,1559699300000.0,1119884300000.0,2023524100000.0,1630693100000.0,3062393200000.0,2533065500000.0,2383605400000.0,2375086000000.0
2100.0,1212604400000.0,2001693000000.0,2007291000000.0,1885150100000.0,2265646400000.0,2101613000000.0,1533625900000.0,1081460060000.0,2001664700000.0,1606296800000.0,3054878900000.0,2517037500000.0,2368277800000.0,2369478700000.0
