time,CESM2-WACCM,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2
2266.0,25632223000.0,28006360000.0,39058436000.0,20364995000.0,22834805000.0,11102333000.0
2267.0,25242270000.0,28951618000.0,38419997000.0,20610775000.0,23053554000.0,11377330000.0
2268.0,25628408000.0,28347947000.0,39487017000.0,20620786000.0,23585438000.0,11028062000.0
2269.0,24970148000.0,28533946000.0,40284037000.0,20711110000.0,24247680000.0,11017217000.0
2270.0,25169005000.0,28835210000.0,40812696000.0,20848669000.0,23584190000.0,11045115000.0
2271.0,25153896000.0,29805101000.0,40260723000.0,21512250000.0,23879932000.0,10853190000.0
2272.0,25227800000.0,28927285000.0,40446890000.0,21721926000.0,23762661000.0,10783163000.0
2273.0,25229634000.0,28775307000.0,41268965000.0,21669962000.0,23516123000.0,10962070000.0
2274.0,25531703000.0,29894375000.0,41506976000.0,21890100000.0,23498470000.0,10998913000.0
2275.0,25709642000.0,29371453000.0,41708650000.0,21365470000.0,23699081000.0,10974888000.0
2276.0,25690378000.0,29252970000.0,41191006000.0,21321834000.0,23318577000.0,10756671000.0
2277.0,25972115000.0,30276890000.0,41127120000.0,21318765000.0,23321666000.0,10902156000.0
2278.0,26038090000.0,31470553000.0,41491825000.0,21065017000.0,23149996000.0,10704449000.0
2279.0,26233836000.0,32547097000.0,41108054000.0,21137582000.0,23103836000.0,10693632000.0
2280.0,26576843000.0,32656646000.0,41065650000.0,21178604000.0,23160977000.0,10312012000.0
2281.0,26789562000.0,33124213000.0,41457648000.0,21385339000.0,22795997000.0,10362553000.0
2282.0,26795264000.0,33286267000.0,41909180000.0,21326627000.0,22571647000.0,10476065000.0
2283.0,26500702000.0,33734294000.0,43343060000.0,21371165000.0,22785167000.0,10383718000.0
2284.0,25972867000.0,32772764000.0,43288270000.0,21402240000.0,22711855000.0,10334826000.0
2285.0,25675825000.0,32295268000.0,42999110000.0,21322090000.0,22386958000.0,10517290000.0
2286.0,25285763000.0,32981264000.0,42928493000.0,21888633000.0,22202796000.0,10785517000.0
2287.0,25540500000.0,31944850000.0,42756612000.0,22009487000.0,21870498000.0,11026882000.0
2288.0,25158156000.0,31918030000.0,42206070000.0,22265360000.0,21537804000.0,10884190000.0
2289.0,24866243000.0,32190595000.0,41778495000.0,22399760000.0,21338309000.0,11138704000.0
