time,MIROC6,TAIESM1,KACE-1-0-G,CNRM-ESM2-1,MRI-ESM2-0,UKESM1-0-LL,CANESM5,EC-EARTH3,CNRM-CM6-1,IPSL-CM6A-LR,CESM2-WACCM,MPI-ESM1-2-HR,GFDL-ESM4
2076.0,8984291000.0,4785791500.0,4534159000.0,12603078000.0,9138464000.0,2117112800.0,2608956200.0,9670983000.0,9282022000.0,6179339000.0,7944728000.0,13636725000.0,7905982000.0
2077.0,8759345000.0,4457975000.0,4421255700.0,12577533000.0,8813297000.0,2065482000.0,2547870700.0,9296241000.0,9095173000.0,5848328000.0,7596326000.0,13443941000.0,7736687000.0
2078.0,8152832000.0,4162596600.0,4301770000.0,11643633000.0,8513265000.0,1949521800.0,2343172600.0,8774893000.0,8922951000.0,5494495700.0,7403946000.0,12567980000.0,7654696000.0
2079.0,7724183600.0,3976010000.0,3941732000.0,11215966000.0,8116820500.0,1755081300.0,2219084300.0,8386086000.0,8342847500.0,5185368000.0,7221903400.0,11946194000.0,7321774000.0
2080.0,7424932400.0,3641550800.0,3878397200.0,10486709000.0,7934611500.0,1610277500.0,2130530600.0,7923548000.0,7654805000.0,5013972000.0,6631229400.0,11805157000.0,7012843500.0
2081.0,7261271000.0,3407731000.0,3796231700.0,9932761000.0,7628862000.0,1446844500.0,2018038500.0,7005205500.0,7363564000.0,4479211000.0,6290367000.0,11263651000.0,6975053300.0
2082.0,7095146500.0,3089196300.0,3635343000.0,9516105000.0,7534686700.0,1388315000.0,1951765400.0,6372016600.0,7099383000.0,4077023200.0,5956090000.0,10482885000.0,6564825000.0
2083.0,6734397400.0,3021819100.0,3493645600.0,8866715000.0,7435513300.0,1318359800.0,1826769900.0,6063388000.0,6761108000.0,3910038800.0,5675784700.0,9903656000.0,6566085600.0
2084.0,6474393000.0,2894050000.0,3472105700.0,8234689000.0,7209431000.0,1279884200.0,1722687500.0,5678080500.0,6478793700.0,3703792000.0,5583723500.0,9214848000.0,6282043400.0
2085.0,6026561500.0,2853246000.0,3508061400.0,7660458500.0,7182610400.0,1154552000.0,1679368800.0,5327234600.0,6445892000.0,3696138200.0,5371880400.0,8631087000.0,5907652000.0
2086.0,5707768300.0,2812736000.0,3397665800.0,7270683000.0,6971349000.0,1123172600.0,1514826200.0,4996361700.0,6137266700.0,3564678000.0,5157986000.0,8203495000.0,5827644000.0
2087.0,5469260300.0,2792515600.0,3163342800.0,6770429000.0,6810042400.0,1011629800.0,1383429400.0,4535235600.0,6017079300.0,3463875000.0,5056401400.0,7617830000.0,5348688400.0
2088.0,5276971500.0,2400432000.0,2901046000.0,7036043000.0,6575045000.0,922227900.0,1305879200.0,4369884700.0,6037807600.0,3432569900.0,4967895000.0,7262294500.0,5267820500.0
2089.0,5183457000.0,2280075300.0,2766524200.0,6777531400.0,6545795600.0,884810500.0,1201669800.0,4299212000.0,5845653500.0,3308684300.0,4776159700.0,6746796000.0,5096964000.0
2090.0,5051169000.0,2073718800.0,2725628400.0,6686727000.0,6419810300.0,789963840.0,1043704200.0,4123009300.0,5628057600.0,3179023600.0,4749331500.0,6565150000.0,5101847600.0
2091.0,4739365000.0,1985217800.0,2543185700.0,6551616500.0,6255014000.0,740620860.0,976169400.0,3979189500.0,5213081600.0,2954008000.0,4653919000.0,6025333000.0,4999401000.0
2092.0,4572849700.0,1864931600.0,2308478000.0,5905247000.0,5912303000.0,703961000.0,984256830.0,3824211000.0,5090430500.0,2621640000.0,4498820000.0,5567120000.0,4954940400.0
2093.0,4399937500.0,1838898700.0,2240136200.0,5517671400.0,5765945000.0,629740300.0,1001241900.0,3496213500.0,5069260300.0,2457232600.0,4214760700.0,5219725000.0,4625279500.0
2094.0,4274125000.0,1729062100.0,2180514300.0,5281423000.0,5470275000.0,591242000.0,970793400.0,3346447000.0,4801486300.0,2270921500.0,4135999000.0,4575552500.0,4520366600.0
2095.0,4021462300.0,1658430300.0,2144926800.0,5111034000.0,5223525400.0,510824320.0,975436300.0,3091091200.0,4664595500.0,2062616300.0,3930670000.0,4154535000.0,4325625000.0
2096.0,4059726800.0,1555210600.0,2088157600.0,4911555000.0,4974619000.0,521394200.0,1015314000.0,2889459700.0,4366784000.0,1958729200.0,3783835400.0,4015025400.0,4170088200.0
2097.0,4030628600.0,1447435400.0,2027288800.0,4809986600.0,4816902000.0,494528060.0,880859900.0,2649741000.0,4087955500.0,1759879800.0,3832260000.0,3906159600.0,3683542800.0
2098.0,3862739700.0,1381047000.0,1986033700.0,4610691000.0,4871634000.0,465547260.0,861145600.0,2548569900.0,3829082000.0,1654489600.0,3743542000.0,3586255000.0,3737116000.0
2099.0,3719138800.0,1356864300.0,1972632200.0,4748104700.0,4703026700.0,450398600.0,836322240.0,2429439200.0,3564973300.0,1551322500.0,3686890200.0,3507310800.0,3686085600.0
2100.0,3797834800.0,1319433600.0,1903487200.0,4475766000.0,4646566000.0,429879970.0,824564500.0,2358615800.0,3561002800.0,1410967300.0,3610240000.0,3398217700.0,3610533000.0
