time,MRI-ESM2-0,KACE-1-0-G,EC-EARTH3,GFDL-ESM4,CNRM-ESM2-1,UKESM1-0-LL,CESM2-WACCM,IITM-ESM,CANESM5,MPI-ESM1-2-HR,CNRM-CM6-1,IPSL-CM6A-LR,MIROC6,TAIESM1
2085.0,3186618000000.0,4145164300000.0,1021978400000.0,5884158700000.0,6116683500000.0,286548330000.0,5632256600000.0,6256350700000.0,1269401500000.0,5691327000000.0,4610427000000.0,4375758800000.0,2916120800000.0,2181974200000.0
2086.0,3143614600000.0,4111568200000.0,992965950000.0,5857491300000.0,6048301700000.0,258353040000.0,5601643000000.0,6224028000000.0,1217591900000.0,5669616400000.0,4516491600000.0,4348202200000.0,2846172400000.0,2126146200000.0
2087.0,3077625300000.0,4086630400000.0,970644200000.0,5835315500000.0,5960292600000.0,238915810000.0,5570606700000.0,6183488300000.0,1167747300000.0,5639928000000.0,4455196500000.0,4285278200000.0,2781120600000.0,2073807000000.0
2088.0,3037711000000.0,4034955600000.0,947037800000.0,5805536000000.0,5864941400000.0,217739980000.0,5545110000000.0,6144779600000.0,1137713300000.0,5610138000000.0,4373304300000.0,4239608800000.0,2694209600000.0,2007675000000.0
2089.0,2988285400000.0,3991966300000.0,908654600000.0,5791095500000.0,5778408700000.0,198589040000.0,5516379600000.0,6142366300000.0,1106168900000.0,5590753000000.0,4305468500000.0,4195690200000.0,2624617000000.0,1959317600000.0
2090.0,2964923000000.0,3968960000000.0,875310200000.0,5777814700000.0,5684712000000.0,178169950000.0,5494578600000.0,6136317600000.0,1077878900000.0,5539900000000.0,4255427600000.0,4159934800000.0,2572120500000.0,1896408000000.0
2091.0,2916829400000.0,3908584000000.0,838622250000.0,5743480000000.0,5606836500000.0,161994310000.0,5461491000000.0,6102326000000.0,1043060500000.0,5507655000000.0,4202768600000.0,4123285500000.0,2513159300000.0,1838765400000.0
2092.0,2894129800000.0,3869421900000.0,817914050000.0,5714891000000.0,5550570000000.0,148446970000.0,5389507600000.0,6080615700000.0,1013840600000.0,5478574000000.0,4140073200000.0,4081176800000.0,2450938400000.0,1786659300000.0
2093.0,2872104200000.0,3827050500000.0,796461430000.0,5698638000000.0,5475033700000.0,132884816000.0,5363632000000.0,6044284000000.0,974224100000.0,5440126000000.0,4060489700000.0,4027976500000.0,2401277800000.0,1749283000000.0
2094.0,2833918200000.0,3789894000000.0,773822940000.0,5672591000000.0,5405588600000.0,119600790000.0,5306881000000.0,6004912700000.0,932823400000.0,5439554600000.0,4009796800000.0,3981946700000.0,2348280200000.0,1698996800000.0
2095.0,2807953000000.0,3746951000000.0,758247900000.0,5653801700000.0,5329769700000.0,105355570000.0,5249223400000.0,5984792600000.0,896245000000.0,5438998000000.0,3955940400000.0,3950081700000.0,2293915700000.0,1647626000000.0
2096.0,2761559600000.0,3703547600000.0,732041600000.0,5630607000000.0,5233046000000.0,90837070000.0,5197199300000.0,5972239000000.0,855053960000.0,5404177700000.0,3875336400000.0,3920478300000.0,2213131000000.0,1605115200000.0
2097.0,2706950300000.0,3673051600000.0,699042760000.0,5633088000000.0,5106295000000.0,79655070000.0,5169257400000.0,5959691300000.0,828910200000.0,5387025000000.0,3812023300000.0,3875628000000.0,2165724200000.0,1553545300000.0
2098.0,2676849000000.0,3651059800000.0,679307600000.0,5608519500000.0,5023117000000.0,70900820000.0,5115493000000.0,5964417700000.0,794117870000.0,5361926400000.0,3761424000000.0,3843112800000.0,2113305300000.0,1514239800000.0
2099.0,2642701500000.0,3617245600000.0,658650370000.0,5594658000000.0,4926499000000.0,63354106000.0,5033541000000.0,5939454300000.0,755468500000.0,5340442700000.0,3719025000000.0,3826239100000.0,2061743800000.0,1473709600000.0
2100.0,2602413300000.0,3582951400000.0,634056540000.0,5577471700000.0,4866004000000.0,55758574000.0,4966318000000.0,5907589600000.0,726740800000.0,5307399000000.0,3652310000000.0,3790369700000.0,2011629000000.0,1408493300000.0
