time,CESM2-WACCM,CANESM5,EC-EARTH3,MRI-ESM2-0,INM-CM4-8,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,TAIESM1,INM-CM5-0,NORESM2-MM,CMCC-CM2-SR5,IPSL-CM6A-LR,ACCESS-CM2,FGOALS-F3-L,GFDL-ESM4,EC-EARTH3-VEG
2057.0,6410448400000.0,2972237700000.0,3524274200000.0,4491597300000.0,6420179700000.0,6245205000000.0,6187164600000.0,5784227000000.0,6154114600000.0,6358138600000.0,4367796400000.0,5690453700000.0,6404525500000.0,5338522000000.0,5793599500000.0,5832596000000.0,5913274500000.0,6413567000000.0,4407190600000.0
2058.0,6354590000000.0,2831587500000.0,3395447000000.0,4393190000000.0,6357131500000.0,6198878300000.0,6115818000000.0,5717302400000.0,6115948500000.0,6328129000000.0,4233001700000.0,5633880000000.0,6371474400000.0,5249877700000.0,5715925700000.0,5763450000000.0,5860077600000.0,6398053700000.0,4267485200000.0
2059.0,6303406000000.0,2704084300000.0,3286557300000.0,4314857000000.0,6315524000000.0,6158528000000.0,6039202000000.0,5636232000000.0,6070044000000.0,6287653300000.0,4098568000000.0,5590762000000.0,6344158000000.0,5166586700000.0,5635176000000.0,5690506000000.0,5781201600000.0,6378318500000.0,4128043200000.0
2060.0,6211039000000.0,2576218600000.0,3174686800000.0,4210608300000.0,6240839700000.0,6121665300000.0,5965760400000.0,5529102500000.0,6023626000000.0,6251986000000.0,3945535400000.0,5526849000000.0,6306844400000.0,5059699000000.0,5564608000000.0,5606234700000.0,5705038300000.0,6352162000000.0,4007604000000.0
2061.0,6138405300000.0,2442767000000.0,3066554000000.0,4107331200000.0,6163496000000.0,6071867000000.0,5904256700000.0,5438726000000.0,5986267400000.0,6237103000000.0,3811130000000.0,5462467500000.0,6271437000000.0,4972942500000.0,5491792500000.0,5521956000000.0,5628786000000.0,6328224000000.0,3851906700000.0
2062.0,6065174000000.0,2317838200000.0,2960743000000.0,4005504000000.0,6064559000000.0,6033748500000.0,5801127700000.0,5336182300000.0,5938136000000.0,6181971000000.0,3697910200000.0,5409072000000.0,6230875600000.0,4868996000000.0,5410567000000.0,5423140700000.0,5553910700000.0,6283859000000.0,3711161000000.0
2063.0,6002944500000.0,2191756600000.0,2876551200000.0,3905277000000.0,5972049000000.0,5997857300000.0,5687870000000.0,5277894600000.0,5888118000000.0,6151613000000.0,3595562000000.0,5342375000000.0,6174486300000.0,4741601400000.0,5318780600000.0,5338182500000.0,5450352300000.0,6238061000000.0,3597304600000.0
2064.0,5945748400000.0,2063589300000.0,2765278400000.0,3813056400000.0,5859429600000.0,5946773300000.0,5600655700000.0,5154188000000.0,5837336600000.0,6092379700000.0,3480647400000.0,5276647300000.0,6114342000000.0,4630548000000.0,5239421300000.0,5246821000000.0,5368595000000.0,6179692000000.0,3464175800000.0
2065.0,5877988300000.0,1938016600000.0,2666522500000.0,3720095200000.0,5756230000000.0,5888171600000.0,5480290700000.0,5077479000000.0,5798175000000.0,6042336000000.0,3347769500000.0,5220819000000.0,6095926000000.0,4528145000000.0,5162703000000.0,5147745000000.0,5301381000000.0,6140240300000.0,3327301800000.0
2066.0,5776296400000.0,1815631800000.0,2564974700000.0,3637501200000.0,5649690000000.0,5840687300000.0,5367847000000.0,4962793300000.0,5752418000000.0,6003596000000.0,3220749000000.0,5162369000000.0,6060904000000.0,4432687300000.0,5099030600000.0,5022537000000.0,5240559500000.0,6086038400000.0,3201853000000.0
2067.0,5694318000000.0,1705569300000.0,2451801600000.0,3549587000000.0,5547416000000.0,5750120000000.0,5276895300000.0,4868969300000.0,5722403000000.0,5962600500000.0,3099413700000.0,5104245000000.0,6003174000000.0,4325131000000.0,4999725700000.0,4882952000000.0,5168618300000.0,6043972700000.0,3068335500000.0
2068.0,5612268000000.0,1590051600000.0,2318336800000.0,3456373600000.0,5448532500000.0,5699729400000.0,5187752000000.0,4820444400000.0,5667122000000.0,5915941000000.0,2991124000000.0,5057419000000.0,5943147000000.0,4212243300000.0,4909015500000.0,4729698000000.0,5107678000000.0,5994616700000.0,2931425300000.0
2069.0,5541367000000.0,1485344600000.0,2213134700000.0,3369820200000.0,5363070400000.0,5622072300000.0,5083721000000.0,4762722400000.0,5614378000000.0,5881260000000.0,2859872800000.0,4996660700000.0,5892508000000.0,4101212700000.0,4815351400000.0,4563204000000.0,5064909400000.0,5954118600000.0,2800486700000.0
2070.0,5481087600000.0,1382438500000.0,2092034000000.0,3282911000000.0,5276811000000.0,5548694000000.0,5002956000000.0,4682870700000.0,5557630000000.0,5852250000000.0,2719134800000.0,4941035300000.0,5813629400000.0,3983020000000.0,4704336600000.0,4383050300000.0,4987170000000.0,5921874000000.0,2688288300000.0
2071.0,5399910500000.0,1286247800000.0,1974917700000.0,3193051800000.0,5166479700000.0,5469977000000.0,4886935600000.0,4592818000000.0,5503506000000.0,5793000700000.0,2582572000000.0,4867516500000.0,5751109000000.0,3882225000000.0,4608517700000.0,4206321200000.0,4902733000000.0,5853719600000.0,2562814600000.0
2072.0,5305504000000.0,1198607000000.0,1865232800000.0,3101256000000.0,5081138000000.0,5389720000000.0,4770897000000.0,4513586000000.0,5450949500000.0,5713124400000.0,2475522000000.0,4803815500000.0,5701861000000.0,3764203800000.0,4505237700000.0,4036713800000.0,4816000500000.0,5800470000000.0,2411519300000.0
2073.0,5221836700000.0,1119192100000.0,1752468200000.0,3022746600000.0,4958287000000.0,5303736700000.0,4653346500000.0,4450826000000.0,5390700000000.0,5668467000000.0,2339182000000.0,4735904500000.0,5634400500000.0,3645231900000.0,4396420000000.0,3861320600000.0,4729084000000.0,5757635000000.0,2262613000000.0
