time,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,CNRM-CM5,GFDL-CM3,CCSM4,MPI-ESM-LR
2086.0,1745304300000.0,1683172500000.0,2563256000000.0,1569441600000.0,1608707300000.0,1507351300000.0,2152035000000.0,1786007500000.0,505812320000.0,1905386500000.0,2154444000000.0
2087.0,1734056200000.0,1669749100000.0,2566837800000.0,1545500500000.0,1600867900000.0,1504676300000.0,2145276100000.0,1778405200000.0,497001200000.0,1904192000000.0,2165690000000.0
2088.0,1732393400000.0,1648395800000.0,2562848000000.0,1531298000000.0,1598407200000.0,1501576000000.0,2148836200000.0,1773031800000.0,486283280000.0,1905577700000.0,2178230600000.0
2089.0,1737105500000.0,1636932500000.0,2553409700000.0,1530722300000.0,1589825600000.0,1492990800000.0,2150977800000.0,1762273000000.0,479997460000.0,1915590800000.0,2203465000000.0
2090.0,1729632700000.0,1625121800000.0,2540849000000.0,1516409300000.0,1580990600000.0,1491526200000.0,2154337400000.0,1752449800000.0,474447280000.0,1906148200000.0,2195536900000.0
2091.0,1717686000000.0,1605888800000.0,2534966600000.0,1519917200000.0,1563742700000.0,1496472900000.0,2150572500000.0,1742014900000.0,463183200000.0,1888480700000.0,2184407000000.0
2092.0,1714451800000.0,1596168500000.0,2554481600000.0,1507793400000.0,1552464900000.0,1506405500000.0,2158403100000.0,1742892800000.0,457344880000.0,1880954400000.0,2186596500000.0
2093.0,1702919300000.0,1586031800000.0,2565327000000.0,1508797000000.0,1542356500000.0,1489950300000.0,2156195300000.0,1735555800000.0,453599700000.0,1878374500000.0,2210841200000.0
2094.0,1699382700000.0,1569485900000.0,2559683900000.0,1506486300000.0,1532740900000.0,1474066100000.0,2160181500000.0,1733918200000.0,448426600000.0,1870491500000.0,2199907500000.0
2095.0,1693790200000.0,1565458400000.0,2561293000000.0,1504147500000.0,1521304700000.0,1480466800000.0,2169065700000.0,1729163000000.0,442566870000.0,1869969400000.0,2194674700000.0
2096.0,1694481900000.0,1556031700000.0,2564296800000.0,1532779600000.0,1519507000000.0,1477049700000.0,2176534800000.0,1723730100000.0,435722000000.0,1863328700000.0,2198451700000.0
2097.0,1677444000000.0,1549960300000.0,2584905800000.0,1529656000000.0,1506895200000.0,1465563100000.0,2171390100000.0,1717703000000.0,428399400000.0,1863460500000.0,2209007500000.0
2098.0,1686993500000.0,1543399300000.0,2590110600000.0,1536658800000.0,1508842900000.0,1456562200000.0,2170233300000.0,1715084200000.0,422350450000.0,1866304800000.0,2210461000000.0
2099.0,1683787900000.0,1532935900000.0,2600871000000.0,1525734000000.0,1499618200000.0,1452202500000.0,2173946800000.0,1719862300000.0,414749660000.0,1862975000000.0,2225633800000.0
2100.0,1684598300000.0,1533797300000.0,2589465500000.0,1528447200000.0,1496267100000.0,1436432100000.0,2179193600000.0,1724159200000.0,408256400000.0,1853926500000.0,2221555300000.0
