time,BCC-CSM2-MR,EC-EARTH3,INM-CM4-8,CAMS-CSM1-0,EC-EARTH3-VEG,MPI-ESM1-2-HR,CANESM5,MRI-ESM2-0,FGOALS-F3-L,CESM2-WACCM,CESM2,GFDL-ESM4,ACCESS-ESM1-5,ACCESS-CM2,IPSL-CM6A-LR,NORESM2-MM,INM-CM5-0
2068.0,2570848800000.0,2067819300000.0,2817927400000.0,2421988300000.0,2493272600000.0,2807679200000.0,1583043000000.0,2470994500000.0,2630078400000.0,2778789600000.0,2920365200000.0,2948953800000.0,3369545000000.0,2331737300000.0,2804695200000.0,2943650600000.0,2422561800000.0
2069.0,2557465900000.0,2045715800000.0,2798042500000.0,2403323000000.0,2473057000000.0,2795736100000.0,1553001600000.0,2458785200000.0,2618050000000.0,2778430200000.0,2932894600000.0,2940987200000.0,3360840700000.0,2307351400000.0,2793067200000.0,2922665500000.0,2403561000000.0
2070.0,2541506800000.0,2020720600000.0,2787495400000.0,2377416400000.0,2464155200000.0,2785039600000.0,1521489800000.0,2445360500000.0,2604275000000.0,2784668000000.0,2929379000000.0,2926913300000.0,3345664200000.0,2288832500000.0,2782163400000.0,2907926000000.0,2387717000000.0
2071.0,2507481300000.0,1995096900000.0,2778349200000.0,2347391000000.0,2440314200000.0,2772969000000.0,1481940500000.0,2438791400000.0,2598811000000.0,2791652500000.0,2922941800000.0,2919376400000.0,3335610000000.0,2257390100000.0,2768078600000.0,2895586500000.0,2379991700000.0
2072.0,2483411200000.0,1974670700000.0,2771350000000.0,2336375000000.0,2430764600000.0,2762944000000.0,1446185800000.0,2428873000000.0,2585749000000.0,2789186000000.0,2923469700000.0,2910527400000.0,3327101800000.0,2225529200000.0,2749851200000.0,2895241800000.0,2369053800000.0
2073.0,2466419600000.0,1959218200000.0,2761915000000.0,2318137000000.0,2410983200000.0,2752950300000.0,1418173500000.0,2419750900000.0,2572689300000.0,2790039700000.0,2920874800000.0,2898203200000.0,3316160400000.0,2212091700000.0,2728515300000.0,2885914500000.0,2349188500000.0
2074.0,2448621600000.0,1938853900000.0,2748218000000.0,2304325500000.0,2388015700000.0,2740875000000.0,1388924800000.0,2407568000000.0,2561840800000.0,2786517800000.0,2915654400000.0,2897090400000.0,3314301300000.0,2194545200000.0,2723423000000.0,2882446300000.0,2334245800000.0
2075.0,2434843500000.0,1915418400000.0,2734069600000.0,2284324400000.0,2367960600000.0,2729802000000.0,1356674900000.0,2399746700000.0,2548265600000.0,2784973300000.0,2920912300000.0,2894480300000.0,3304176500000.0,2178945800000.0,2714063300000.0,2868169400000.0,2318606300000.0
2076.0,2427613000000.0,1895396900000.0,2713077700000.0,2267731700000.0,2356845500000.0,2722728500000.0,1320082600000.0,2398083600000.0,2535788600000.0,2786304200000.0,2922238200000.0,2885900600000.0,3295133000000.0,2164256900000.0,2698293800000.0,2862869000000.0,2301535500000.0
2077.0,2406915800000.0,1873478700000.0,2696096800000.0,2261432100000.0,2333343500000.0,2714885400000.0,1286157100000.0,2391953400000.0,2516967500000.0,2788452500000.0,2916798200000.0,2880180300000.0,3285190000000.0,2148021000000.0,2685008000000.0,2864773300000.0,2279884200000.0
2078.0,2392579000000.0,1854280000000.0,2676880800000.0,2250961600000.0,2314668000000.0,2704275700000.0,1247436500000.0,2388755200000.0,2507359400000.0,2780833300000.0,2914970000000.0,2868547000000.0,3276984300000.0,2130412300000.0,2674172400000.0,2870256000000.0,2256601600000.0
2079.0,2373823000000.0,1829935300000.0,2661137800000.0,2232617500000.0,2301135400000.0,2693230200000.0,1207969900000.0,2383053800000.0,2496330500000.0,2784054000000.0,2914489500000.0,2865793300000.0,3254879800000.0,2112243400000.0,2664753500000.0,2864571200000.0,2242717400000.0
2080.0,2362132400000.0,1810367100000.0,2647310500000.0,2215888000000.0,2281649700000.0,2668401500000.0,1177902400000.0,2384303800000.0,2478754800000.0,2787002500000.0,2921788600000.0,2860680500000.0,3252524700000.0,2096941500000.0,2650757400000.0,2862928000000.0,2234257500000.0
2081.0,2339295000000.0,1787421700000.0,2631077200000.0,2202317600000.0,2268743600000.0,2664470200000.0,1148793400000.0,2377112600000.0,2471550500000.0,2792644700000.0,2917653000000.0,2858064000000.0,3245471700000.0,2079968600000.0,2639005000000.0,2858495000000.0,2219411200000.0
2082.0,2320779000000.0,1770132900000.0,2610137000000.0,2189221300000.0,2247306500000.0,2653545800000.0,1125469800000.0,2377231400000.0,2453206700000.0,2807422800000.0,2913291200000.0,2848251400000.0,3236813600000.0,2068926700000.0,2621751700000.0,2851247000000.0,2205519700000.0
2083.0,2304970600000.0,1749248400000.0,2601563200000.0,2178015000000.0,2218625900000.0,2638642000000.0,1091306000000.0,2370588600000.0,2441752000000.0,2806907000000.0,2912265400000.0,2842161600000.0,3220310300000.0,2047583600000.0,2606003000000.0,2849202500000.0,2188979900000.0
2084.0,2298487000000.0,1727159200000.0,2590605000000.0,2166467000000.0,2195728000000.0,2627288000000.0,1063405000000.0,2371278600000.0,2433658000000.0,2806363500000.0,2916264400000.0,2841600600000.0,3216872600000.0,2030930000000.0,2591628700000.0,2837207300000.0,2176079500000.0
2085.0,2282685700000.0,1715429400000.0,2574619200000.0,2153527000000.0,2172005300000.0,2619806600000.0,1033610000000.0,2373223700000.0,2421231700000.0,2806714700000.0,2919962500000.0,2837085700000.0,3221070800000.0,2008681200000.0,2573078600000.0,2841764700000.0,2160655300000.0
2086.0,2273674500000.0,1704327500000.0,2549440300000.0,2140897000000.0,2142997800000.0,2607399300000.0,1009166250000.0,2383614800000.0,2403936200000.0,2808932000000.0,2928595000000.0,2832095000000.0,3215107800000.0,1986833000000.0,2559304000000.0,2836603600000.0,2146638400000.0
2087.0,2261125200000.0,1697418300000.0,2532184200000.0,2123273500000.0,2120704500000.0,2593117200000.0,982392500000.0,2385057400000.0,2388265800000.0,2811190600000.0,2926185300000.0,2833308500000.0,3217135200000.0,1968530000000.0,2553732100000.0,2833281400000.0,2129359100000.0
2088.0,2247446200000.0,1686093200000.0,2515706800000.0,2113314200000.0,2093834800000.0,2583839600000.0,959682000000.0,2374032200000.0,2371507700000.0,2813801800000.0,2926021000000.0,2832263800000.0,3207212000000.0,1937320700000.0,2546061300000.0,2834611600000.0,2123877200000.0
2089.0,2234493000000.0,1670791300000.0,2497080200000.0,2103397000000.0,2068968100000.0,2582665000000.0,933716750000.0,2373336000000.0,2359083400000.0,2824405300000.0,2930838900000.0,2829615400000.0,3201992500000.0,1926892600000.0,2529715600000.0,2845700800000.0,2113608600000.0
2090.0,2224302000000.0,1658257800000.0,2480251600000.0,2085901400000.0,2050906900000.0,2569535200000.0,908720400000.0,2366121200000.0,2343256000000.0,2825407400000.0,2941136700000.0,2820483800000.0,3196804400000.0,1908446600000.0,2516459700000.0,2845327200000.0,2105092200000.0
2091.0,2216275500000.0,1643368200000.0,2465390000000.0,2072295400000.0,2038290300000.0,2563075000000.0,886466600000.0,2364717400000.0,2333832000000.0,2830138900000.0,2936978800000.0,2806311000000.0,3192769200000.0,1892878000000.0,2503228000000.0,2837023800000.0,2093574100000.0
2092.0,2210775700000.0,1627154300000.0,2457581600000.0,2069595600000.0,2025446000000.0,2548821400000.0,858934900000.0,2366694000000.0,2309126600000.0,2835357400000.0,2932783400000.0,2801104000000.0,3193277800000.0,1869278700000.0,2486605200000.0,2826040200000.0,2076484700000.0
