time,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,MRI-ESM2-0
2063.0,32295270000.0,34387317000.0,37118083000.0,35800895000.0,36482363000.0,32157667000.0,34440000000.0,32678578000.0,29512997000.0,36490030000.0,36533630000.0,31310076000.0,32371034000.0,29445245000.0
2064.0,31753187000.0,33886507000.0,36663824000.0,35520266000.0,35870437000.0,31609442000.0,34432840000.0,32092645000.0,29008562000.0,35970773000.0,36070744000.0,30586140000.0,32125184000.0,28822684000.0
2065.0,31342252000.0,33409268000.0,36351713000.0,34963067000.0,35225590000.0,31236809000.0,33648679000.0,31577537000.0,28567904000.0,35599660000.0,35420426000.0,29913068000.0,31599776000.0,28297700000.0
2066.0,30877565000.0,32921053000.0,35748710000.0,34642928000.0,34751710000.0,30746884000.0,33163174000.0,31131232000.0,28092592000.0,35181640000.0,34932520000.0,29401879000.0,31147393000.0,27825113000.0
2067.0,30458495000.0,32327686000.0,35370440000.0,34143427000.0,34204363000.0,30345298000.0,33116494000.0,30577529000.0,27818318000.0,34985615000.0,34504320000.0,28692240000.0,30897070000.0,27389972000.0
2068.0,29968757000.0,31993571000.0,34791020000.0,34135042000.0,33591060000.0,29981360000.0,33863608000.0,30180299000.0,27376886000.0,34291442000.0,34023764000.0,27913929000.0,30283210000.0,26864695000.0
2069.0,29491943000.0,31518347000.0,34134088000.0,33339679000.0,33112540000.0,29507942000.0,32208347000.0,29707405000.0,26900292000.0,33915548000.0,33518810000.0,27341600000.0,30107916000.0,26431883000.0
2070.0,29066713000.0,31071891000.0,33682110000.0,32802111000.0,32481786000.0,29058902000.0,31641560000.0,29335695000.0,26446948000.0,33428860000.0,33056543000.0,26831147000.0,30329016000.0,25995678000.0
2071.0,28762395000.0,30653956000.0,33311640000.0,32284475000.0,31933219000.0,28752204000.0,31219560000.0,28813648000.0,26302080000.0,33034445000.0,32566272000.0,26273477000.0,29135462000.0,25506695000.0
2072.0,28185747000.0,30362430000.0,32901521000.0,32379163000.0,31301050000.0,28405650000.0,30787035000.0,28292334000.0,25721676000.0,32582520000.0,32164977000.0,25774650000.0,28736890000.0,25164456000.0
2073.0,27735994000.0,29653584000.0,32362627000.0,31583975000.0,30666482000.0,29391590000.0,30507137000.0,27781560000.0,25316130000.0,32245873000.0,31623740000.0,25146860000.0,28329800000.0,24737034000.0
2074.0,27364751000.0,29217677000.0,31983362000.0,31420543000.0,29980533000.0,27976760000.0,30098895000.0,27413170000.0,24836274000.0,31758037000.0,31678910000.0,24491297000.0,27859990000.0,24401551000.0
2075.0,26827917000.0,28796445000.0,31471352000.0,30842458000.0,29397017000.0,27455513000.0,29752807000.0,26858342000.0,24502198000.0,31302940000.0,30822910000.0,24020828000.0,27521847000.0,24067514000.0
