time,CNRM-CM6-1,MIROC6,MPI-ESM1-2-HR,CESM2-WACCM,IITM-ESM,CNRM-ESM2-1,TAIESM1,UKESM1-0-LL,GFDL-ESM4,EC-EARTH3,CANESM5,KACE-1-0-G,IPSL-CM6A-LR,MRI-ESM2-0
2074.0,15272720000.0,30757951000.0,28216052000.0,11854207000.0,34875060000.0,16201723000.0,9090654000.0,9704320000.0,26063397000.0,17839720000.0,12949918000.0,16218042000.0,19570725000.0,21399884000.0
2075.0,14772355000.0,30744099000.0,27681850000.0,11707235000.0,33741857000.0,16626505000.0,9221980000.0,9475403000.0,25943323000.0,16677037000.0,12906106000.0,16584240000.0,19720649000.0,20978618000.0
2076.0,15200600000.0,31064214000.0,28110795000.0,11726082000.0,34952987000.0,16957179000.0,9233799000.0,9551791000.0,26322210000.0,16075333000.0,12831006000.0,16538327000.0,19943220000.0,20839799000.0
2077.0,15073168000.0,31331004000.0,28137052000.0,11810498000.0,34543383000.0,16466223000.0,9179976000.0,9833084000.0,27373187000.0,16423214000.0,13201494000.0,16132923000.0,19457038000.0,20962236000.0
2078.0,14512231000.0,30688310000.0,28095707000.0,11293904000.0,34338111000.0,16003633000.0,9019827000.0,10142310000.0,26667807000.0,16819110000.0,13602540000.0,16908533000.0,18805737000.0,21409935000.0
2079.0,15474612000.0,30235445000.0,27619285000.0,12092346000.0,33877318000.0,15974370000.0,8676991000.0,9661527000.0,24930744000.0,16587668000.0,13602980000.0,16797787000.0,19302863000.0,21153952000.0
2080.0,15439899000.0,31459760000.0,27552571000.0,12022938000.0,35384873000.0,15758270000.0,8724105000.0,9359887000.0,25396759000.0,15812341000.0,13555943000.0,16887135000.0,19357050000.0,20784945000.0
2081.0,15494480000.0,31508775000.0,28865438000.0,11547744000.0,34387636000.0,15879837000.0,8500468000.0,9208830000.0,25062527000.0,16565806000.0,13678317000.0,16186596000.0,18656817000.0,20710330000.0
2082.0,14794332000.0,32180584000.0,29478228000.0,12308028000.0,34237137000.0,15490668000.0,8192636000.0,8773828000.0,25076455000.0,17121749000.0,13772237000.0,16123989000.0,18685852000.0,21174632000.0
2083.0,14306936000.0,31945587000.0,29724563000.0,12658353000.0,34557846000.0,15786530000.0,8545191000.0,8180113000.0,23949928000.0,16002732000.0,13562516000.0,15688144000.0,18381850000.0,21876496000.0
2084.0,14535139000.0,31362974000.0,31035793000.0,12326271000.0,34653086000.0,15571004000.0,8946383000.0,8177948000.0,23637084000.0,15645455000.0,13848009000.0,15949638000.0,17736735000.0,22225322000.0
2085.0,14626052000.0,31699728000.0,31350698000.0,11511098000.0,34346078000.0,16509272000.0,8955351000.0,8418759700.0,24837566000.0,17182288000.0,13313151000.0,15265419000.0,17356513000.0,21487750000.0
2086.0,14252772000.0,31094342000.0,31062483000.0,11353314000.0,33712120000.0,16905986000.0,8345573400.0,8385568000.0,25592650000.0,17636246000.0,12348568000.0,15240017000.0,17764400000.0,21189011000.0
2087.0,14064867000.0,29440080000.0,31189352000.0,10723180000.0,35477074000.0,15847559000.0,8126428700.0,7792568000.0,25071948000.0,18125100000.0,10823887000.0,15828409000.0,18474346000.0,21167094000.0
2088.0,14436759000.0,29603092000.0,31292377000.0,10610705000.0,35490464000.0,16698401000.0,8093742000.0,8159430000.0,25250912000.0,17498006000.0,11202524000.0,14864532000.0,18353980000.0,20860307000.0
2089.0,14775033000.0,30258016000.0,31363742000.0,10852169000.0,35381670000.0,16893825000.0,8003991000.0,8616756000.0,25612394000.0,17350302000.0,11857934000.0,14306488000.0,17598362000.0,20882196000.0
2090.0,14414185000.0,30533149000.0,31324064000.0,10394468000.0,34744156000.0,16800684000.0,8167395000.0,8485482500.0,25832974000.0,18165920000.0,11887944000.0,14786186000.0,18050996000.0,20934451000.0
2091.0,15126662000.0,30979344000.0,32018905000.0,10755176000.0,34883640000.0,16625086000.0,8095755300.0,8658579000.0,25939167000.0,18030120000.0,11929888000.0,15111156000.0,18557473000.0,20817160000.0
2092.0,15106476000.0,31612539000.0,33585824000.0,10470055000.0,36036010000.0,15814964000.0,7856617500.0,8717685000.0,26190977000.0,17070569000.0,12198167000.0,15282974000.0,19321795000.0,20226587000.0
2093.0,15076457000.0,30670330000.0,34776023000.0,10409514000.0,35739906000.0,16264343000.0,8094093000.0,8312147000.0,26436372000.0,17207906000.0,12783586000.0,15281783000.0,19776310000.0,20824197000.0
2094.0,14522974000.0,30102784000.0,35096814000.0,10823092000.0,35791320000.0,15529645000.0,8107121700.0,8004475400.0,26008551000.0,17253384000.0,12826414000.0,15615246000.0,19433048000.0,21195338000.0
2095.0,14466856000.0,30395330000.0,34560315000.0,10779878000.0,35801166000.0,15847369000.0,7687240000.0,8249472000.0,27156280000.0,17521270000.0,13100468000.0,15723762000.0,19280263000.0,21219277000.0
2096.0,14244175000.0,31010888000.0,32982776000.0,11390791000.0,36755240000.0,15876002000.0,7748315600.0,8516348000.0,27506297000.0,17644722000.0,13299023000.0,16166885000.0,19778814000.0,21867153000.0
2097.0,13992618000.0,31740834000.0,32375046000.0,11355768000.0,35545727000.0,16522881000.0,7843409000.0,8926478000.0,28130662000.0,17699580000.0,13046139000.0,16044231000.0,20746938000.0,21686737000.0
2098.0,14428229000.0,32394066000.0,34105917000.0,11126099000.0,34888253000.0,15461503000.0,7849946600.0,9419672000.0,27478563000.0,17731772000.0,13519728000.0,15828751000.0,21562444000.0,21694919000.0
2099.0,13980566000.0,32505102000.0,34341712000.0,11412478000.0,36562903000.0,14875197000.0,7833689000.0,9724222000.0,27471100000.0,17433926000.0,14167667000.0,16209132000.0,20968428000.0,22238750000.0
2100.0,14889023000.0,31467663000.0,35377623000.0,11102929000.0,36882792000.0,15032570000.0,7921882600.0,9372893000.0,27049382000.0,16325656000.0,14015772000.0,15488093000.0,20125910000.0,21530298000.0
