time,IPSL-CM6A-LR,CESM2-WACCM,ACCESS-CM2,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5
2206.0,15578975000.0,10223993000.0,10602707000.0,14284807000.0,14820740000.0,17423948000.0
2207.0,15442447000.0,10087577000.0,10918479000.0,14772584000.0,14558857000.0,17357513000.0
2208.0,15549518000.0,9999625000.0,10652372000.0,14723407000.0,14370412000.0,17143185000.0
2209.0,15589914000.0,9889423000.0,11022594000.0,14670797000.0,14380054000.0,17104305000.0
2210.0,15295653000.0,10222678000.0,10791796000.0,15739109000.0,14330792000.0,17301670000.0
2211.0,15455537000.0,10040999000.0,10633777000.0,14720241000.0,14286936000.0,16971425000.0
2212.0,15287247000.0,9900191000.0,10607981000.0,14434006000.0,14220681000.0,17004875000.0
2213.0,15178643000.0,10072363000.0,10784671000.0,14421222000.0,14184478000.0,17381420000.0
2214.0,15211362000.0,9939406000.0,10684156000.0,15185062000.0,14202941000.0,16949164000.0
2215.0,15583389000.0,9886285000.0,10589927000.0,14776787000.0,14184937000.0,16844849000.0
2216.0,15419723000.0,9791940000.0,10790607000.0,14441123000.0,14124625000.0,16870045000.0
2217.0,15257956000.0,9851568000.0,10790931000.0,14984300000.0,14126949000.0,16818781000.0
2218.0,15118309000.0,9847936000.0,10591778000.0,15201572000.0,14047666000.0,16802163000.0
2219.0,16442882000.0,9725218000.0,10688178000.0,14913416000.0,14649158000.0,17110792000.0
2220.0,15974215000.0,9664431000.0,10687824000.0,15419392000.0,14066480000.0,16692810000.0
2221.0,16109196000.0,9659159000.0,10689217000.0,15354882000.0,14006569000.0,17203593000.0
2222.0,15390429000.0,9616279000.0,10561240000.0,14899785000.0,14323440000.0,16776914000.0
2223.0,15581532000.0,10326991000.0,10589944000.0,14625545000.0,13969521000.0,16989800000.0
2224.0,15387547000.0,9846203000.0,10578125000.0,14753565000.0,13931010000.0,17154571000.0
2225.0,15302448000.0,9715864000.0,10575008000.0,15159472000.0,13914596000.0,16922916000.0
2226.0,15414817000.0,9636179000.0,10744014000.0,14699973000.0,13868966000.0,17248985000.0
2227.0,15321518000.0,9558567000.0,10526327000.0,14686696000.0,13852444000.0,17058237000.0
2228.0,15206386000.0,9570947000.0,10481101000.0,14686216000.0,13827616000.0,16796549000.0
2229.0,16280233000.0,9492734000.0,10471763000.0,14588303000.0,13806933000.0,17002131000.0
2230.0,15928090000.0,9476994000.0,10607176000.0,14743832000.0,13846781000.0,16583698000.0
2231.0,17069071000.0,9424825000.0,10856807000.0,14931810000.0,14928304000.0,16588670000.0
2232.0,15802284000.0,9380675000.0,10624383000.0,14560855000.0,14636442000.0,17088579000.0
2233.0,15538732000.0,9373478000.0,10465444000.0,14536074000.0,14619829000.0,16845305000.0
2234.0,15367199000.0,9341934000.0,10440443000.0,14447299000.0,14197382000.0,16791242000.0
2235.0,15288824000.0,9330471000.0,10633898000.0,14615650000.0,14043816000.0,16528035000.0
2236.0,15392193000.0,9597807000.0,10700535000.0,14598977000.0,13944005000.0,16629509000.0
2237.0,15456762000.0,9373699000.0,10693078000.0,14534241000.0,13791374000.0,16453045000.0
2238.0,15185111000.0,9773544000.0,10654859000.0,14600759000.0,13725878000.0,16757093000.0
2239.0,15141658000.0,9308855000.0,10505250000.0,14585089000.0,13672969000.0,16577133000.0
2240.0,15588779000.0,9214471000.0,10483473000.0,16169738000.0,13658972000.0,16551785000.0
2241.0,15268372000.0,9210522000.0,10445968000.0,15498958000.0,13615098000.0,16404507000.0
2242.0,15312977000.0,9193962000.0,10432717000.0,15199623000.0,13621461000.0,16413181000.0
2243.0,15614021000.0,9488398000.0,10511058000.0,15007034000.0,13570003000.0,16266501000.0
2244.0,15303816000.0,9167829000.0,10427516000.0,15761659000.0,13628511000.0,16319491000.0
2245.0,15098445000.0,9148058000.0,10472146000.0,14996089000.0,13722211000.0,16198271000.0
2246.0,15052756000.0,9145199000.0,10487713000.0,14739319000.0,13615108000.0,16768861000.0
2247.0,15184794000.0,9130357000.0,10406473000.0,15079928000.0,13527274000.0,16239894000.0
2248.0,15224591000.0,9368526000.0,10387272000.0,15314922000.0,13533847000.0,16177577000.0
2249.0,15137438000.0,9055572000.0,11129214000.0,14976328000.0,13504735000.0,17675055000.0
2250.0,15496565000.0,9056942000.0,10560781000.0,15174577000.0,13444082000.0,17218503000.0
2251.0,15196407000.0,9188274000.0,10515323000.0,14947452000.0,13416203000.0,16367834000.0
2252.0,15085887000.0,9126873000.0,10406518000.0,14701867000.0,13389908000.0,16919773000.0
2253.0,15245647000.0,9030523000.0,10583600000.0,14893871000.0,13352764000.0,16404469000.0
2254.0,15021794000.0,9066003000.0,10394742000.0,14833698000.0,13328526000.0,16212289000.0
2255.0,15342242000.0,8979766000.0,10384820000.0,14850181000.0,13300170000.0,16136808000.0
2256.0,15048152000.0,8981212000.0,10355921000.0,14879881000.0,13265863000.0,16102683000.0
2257.0,15271453000.0,9116673000.0,10343926000.0,15687900000.0,13230836000.0,16089189000.0
2258.0,15472039000.0,8958201000.0,10435090000.0,14689581000.0,13176193000.0,15998397000.0
2259.0,15567696000.0,8912061000.0,10466226000.0,14676326000.0,13133483000.0,16107390000.0
2260.0,16095177000.0,9032291000.0,10788556000.0,15005298000.0,13130096000.0,16253477000.0
2261.0,16198099000.0,9172286000.0,10416811000.0,14734885000.0,13102776000.0,16705877000.0
2262.0,16215006000.0,8884476000.0,10582964000.0,16132959000.0,13164780000.0,16336696000.0
2263.0,17103835000.0,9136766000.0,10382138000.0,14860824000.0,13054504000.0,16893709000.0
2264.0,15736632000.0,8907648000.0,10327754000.0,14799582000.0,13446447000.0,16737977000.0
2265.0,15515093000.0,9018850000.0,10354038000.0,15280565000.0,13014570000.0,16727962000.0
2266.0,15401115000.0,8864679000.0,10310914000.0,14827338000.0,12965651000.0,17016459000.0
2267.0,15489417000.0,8962732000.0,10291413000.0,14998102000.0,12932584000.0,17420780000.0
2268.0,15627792000.0,8858257000.0,10279572000.0,14759039000.0,12871476000.0,16620028000.0
2269.0,15673997000.0,8968769000.0,10288495000.0,16006090000.0,13024453000.0,16484449000.0
2270.0,15680870000.0,9175072000.0,10247606000.0,15008231000.0,12827678000.0,16293947000.0
2271.0,15421721000.0,8971677000.0,10217532000.0,14730226000.0,12813417000.0,16282970000.0
2272.0,15401218000.0,8789542000.0,10224316000.0,14744749000.0,12845102000.0,16162435000.0
2273.0,15807277000.0,8774144000.0,10507996000.0,14818867000.0,12797808000.0,16156572000.0
2274.0,15563980000.0,8750615000.0,10264735000.0,14766716000.0,12750200000.0,16329556000.0
2275.0,15397711000.0,8798015000.0,10428179000.0,16548125000.0,12777294000.0,16485354000.0
2276.0,15334616000.0,8695873000.0,10183845000.0,15676173000.0,12951284000.0,16369157000.0
2277.0,15279807000.0,8691971000.0,10163715000.0,14841103000.0,12761074000.0,16923061000.0
2278.0,15314052000.0,8752224000.0,10171577000.0,14820209000.0,12975774000.0,16714850000.0
2279.0,17439883000.0,8668402000.0,10224434000.0,15646047000.0,12657656000.0,16638666000.0
2280.0,15453971000.0,8682040000.0,10171491000.0,14984401000.0,12636564000.0,16368810000.0
2281.0,15538230000.0,8834848000.0,10146587000.0,16009136000.0,12600826000.0,16274967000.0
2282.0,15812395000.0,8642487000.0,10094729000.0,14896620000.0,12624920000.0,16117835000.0
2283.0,15958190000.0,8607242000.0,10041918000.0,15356572000.0,12683652000.0,16086662000.0
2284.0,15823607000.0,8650841000.0,10117365000.0,14999006000.0,12570592000.0,16044960000.0
2285.0,15489317000.0,8717969000.0,10019441000.0,14977590000.0,12668499000.0,16157850000.0
2286.0,15422899000.0,8577744000.0,10156809000.0,15292136000.0,12544248000.0,17575102000.0
2287.0,15325695000.0,8550814000.0,10064614000.0,15551489000.0,12482240000.0,17274057000.0
