time,CANESM2,CNRM-CM5,GFDL-CM3,MPI-ESM-LR,NORESM1-M,GFDL-ESM2G,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR
2081.0,5666836000000.0,5314358300000.0,4874940000000.0,5517447500000.0,5275172000000.0,6369874000000.0,6354409000000.0,5741946600000.0,5886568000000.0,4427746000000.0,4646036000000.0
2082.0,5625481000000.0,5292775400000.0,4822641700000.0,5479258000000.0,5242247000000.0,6354692000000.0,6344476000000.0,5701614000000.0,5872455000000.0,4381937000000.0,4626339300000.0
2083.0,5603417700000.0,5251586000000.0,4797575500000.0,5464461400000.0,5206293600000.0,6339110000000.0,6321904500000.0,5682923000000.0,5846486000000.0,4345925000000.0,4592658000000.0
2084.0,5580676000000.0,5210554000000.0,4757198000000.0,5428107300000.0,5153837500000.0,6325887000000.0,6320826600000.0,5655142300000.0,5831980000000.0,4297449500000.0,4550872300000.0
2085.0,5548340700000.0,5155084000000.0,4709585000000.0,5404679500000.0,5112079600000.0,6301534000000.0,6302010000000.0,5622061000000.0,5816406500000.0,4256191000000.0,4515866000000.0
2086.0,5504554000000.0,5090876000000.0,4665070000000.0,5390438000000.0,5079119000000.0,6287149500000.0,6293629000000.0,5581317000000.0,5795203000000.0,4209659000000.0,4488868400000.0
2087.0,5465271400000.0,5050107700000.0,4636097000000.0,5365261000000.0,5036157000000.0,6273577000000.0,6283941000000.0,5553212000000.0,5782526500000.0,4180223000000.0,4437502000000.0
2088.0,5418791700000.0,5029543500000.0,4587186000000.0,5343791300000.0,4991787500000.0,6255872600000.0,6270978400000.0,5524124300000.0,5762976300000.0,4134382600000.0,4402941300000.0
2089.0,5371861700000.0,5005161000000.0,4545946000000.0,5337522000000.0,4938949700000.0,6240253500000.0,6252693300000.0,5462804700000.0,5738206000000.0,4097437900000.0,4389227500000.0
2090.0,5341619700000.0,4979073500000.0,4504258300000.0,5318805300000.0,4897679300000.0,6232962000000.0,6228966600000.0,5455602000000.0,5696712000000.0,4076433000000.0,4351803800000.0
2091.0,5307056000000.0,4930500000000.0,4467784700000.0,5288903600000.0,4853595000000.0,6213171400000.0,6218554300000.0,5424237500000.0,5675357000000.0,4036236700000.0,4304179800000.0
2092.0,5295064000000.0,4883763700000.0,4423671600000.0,5265819000000.0,4821648700000.0,6197804000000.0,6197387000000.0,5396564500000.0,5637841400000.0,4002610200000.0,4279608000000.0
2093.0,5277215000000.0,4854199000000.0,4368930700000.0,5247201700000.0,4800691300000.0,6178197000000.0,6171093000000.0,5359455000000.0,5601973000000.0,3959385500000.0,4255066600000.0
2094.0,5263676400000.0,4819643000000.0,4334026200000.0,5223944000000.0,4756357500000.0,6173309300000.0,6168774700000.0,5324325000000.0,5579916400000.0,3930724200000.0,4226458800000.0
2095.0,5242719000000.0,4789062600000.0,4291911500000.0,5201567700000.0,4715008000000.0,6147393000000.0,6158417000000.0,5304781000000.0,5547311500000.0,3888305100000.0,4210443400000.0
2096.0,5217376000000.0,4745585500000.0,4242182500000.0,5173862000000.0,4674502500000.0,6134148000000.0,6133014600000.0,5281803000000.0,5521802300000.0,3850496600000.0,4168390500000.0
2097.0,5194128000000.0,4703989500000.0,4188550200000.0,5137229000000.0,4664219700000.0,6131628000000.0,6100292000000.0,5252813000000.0,5508513700000.0,3813907600000.0,4128275000000.0
2098.0,5163570400000.0,4660571700000.0,4149930400000.0,5108147000000.0,4642184000000.0,6129637700000.0,6062681000000.0,5215200000000.0,5496145700000.0,3761421200000.0,4117793300000.0
2099.0,5137802000000.0,4608985000000.0,4115022200000.0,5083146000000.0,4624492300000.0,6110331300000.0,6053412000000.0,5153104000000.0,5473769000000.0,3735304300000.0,4101659000000.0
2100.0,5123849000000.0,4594602600000.0,4075967000000.0,5058866400000.0,4607684000000.0,6097332000000.0,6034384000000.0,5119494600000.0,5460719600000.0,3696580400000.0,4078809000000.0
