time,GFDL-ESM2G,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR
2085.0,2678923000000.0,2243028000000.0,2103220000000.0,2064913900000.0,2396280800000.0,2501496000000.0,1825556900000.0,1664935500000.0,2285551000000.0,2461962000000.0
2086.0,2648050800000.0,2205972700000.0,2066577500000.0,2023161500000.0,2362229700000.0,2472703700000.0,1778283300000.0,1636765400000.0,2252839000000.0,2439866000000.0
2087.0,2626461400000.0,2167912900000.0,2031100600000.0,1982766000000.0,2322379800000.0,2443100300000.0,1742356600000.0,1595510500000.0,2225013800000.0,2414383200000.0
2088.0,2591951400000.0,2119889500000.0,1993034000000.0,1933550800000.0,2291348300000.0,2413590500000.0,1711742600000.0,1549216100000.0,2200793300000.0,2383522800000.0
2089.0,2549837000000.0,2100712700000.0,1959229400000.0,1899607800000.0,2256289700000.0,2381186900000.0,1682322100000.0,1517638300000.0,2173496000000.0,2334617800000.0
2090.0,2542740700000.0,2077434600000.0,1923778000000.0,1867925200000.0,2224258000000.0,2347885000000.0,1636957600000.0,1476542900000.0,2151392100000.0,2301781000000.0
2091.0,2513689600000.0,2047087100000.0,1889491900000.0,1829311700000.0,2184216600000.0,2323922000000.0,1589340900000.0,1447891800000.0,2125267500000.0,2273894200000.0
2092.0,2478934300000.0,2014538500000.0,1860460700000.0,1782538200000.0,2156887900000.0,2295675700000.0,1555964600000.0,1412413100000.0,2103793700000.0,2246752300000.0
2093.0,2469937500000.0,1986567600000.0,1824641600000.0,1729660800000.0,2119648000000.0,2269401300000.0,1514810800000.0,1372249700000.0,2068018100000.0,2225145600000.0
2094.0,2446864700000.0,1952910700000.0,1791290600000.0,1697215500000.0,2083684600000.0,2241596800000.0,1478849500000.0,1333033400000.0,2035141400000.0,2193684200000.0
2095.0,2420644000000.0,1914424400000.0,1755831200000.0,1670548200000.0,2050895200000.0,2224274000000.0,1442836300000.0,1301774600000.0,2005212000000.0,2162444000000.0
2096.0,2391250000000.0,1878897000000.0,1724017500000.0,1641476500000.0,2017555900000.0,2197310400000.0,1395904200000.0,1271497600000.0,1983044900000.0,2141021000000.0
2097.0,2345294600000.0,1844055500000.0,1701984700000.0,1606890000000.0,1990884600000.0,2164819200000.0,1365233600000.0,1241424100000.0,1955490800000.0,2107916300000.0
2098.0,2340024700000.0,1817731100000.0,1664937900000.0,1577626600000.0,1965276000000.0,2132963100000.0,1340619600000.0,1207094300000.0,1925838500000.0,2071680300000.0
2099.0,2317847000000.0,1782425800000.0,1626935300000.0,1542791400000.0,1924828000000.0,2105692300000.0,1304991900000.0,1185322800000.0,1879469200000.0,2025439800000.0
2100.0,2291904300000.0,1765015600000.0,1587155300000.0,1521626600000.0,1869031400000.0,2086318100000.0,1258326600000.0,1165201900000.0,1849009400000.0,1996656500000.0
